Composer,Collection,Song,Count,Measures
Franz Schubert,"Winterreise, D.911",Im Dorfe,36,"[21, 23, 37, 41, 42, 44]"
Hugo Wolf,Eichendorff-Lieder,Nachtzauber,31,"[11, 12, 13, 14, 20, 22, 26, 29, 30, 40, 41, 42, 49, 51, 55, 59, 61]"
Franz Schubert,"Winterreise, D.911",Der Wegweiser,12,"[11, 13, 16, 35, 42, 46, 48, 51, 79]"
Franz Schubert,"Winterreise, D.911",Das Wirtshaus,7,"[6, 8, 12, 18, 25, 27]"
Franz Schubert,Schwanengesang.D.957,Abschied,6,"[22, 72, 122, 133, 152]"
Robert Franz,"6 Gesänge, Op. 14",Liebesfrühling,6,"[1, 5, 14, 17, 19, 21]"
Robert Schumann,"Dichterliebe, Op.48",Allnächtlich im Traume,6,"[3, 7, 16, 20, 29, 33]"
Cécile Chaminade,Amoroso,Amoroso,6,"[7, 8, 23, 24, 39, 40]"
Franz Schubert,"Winterreise, D.911",Einsamkeit,6,"[7, 11, 16, 20]"
Hugo Wolf,Eichendorff-Lieder,Der Scholar,6,"[39, 47, 48]"
Franz Schubert,"Winterreise, D.911",Gefror'ne Thränen,4,"[38, 48]"
Johannes Brahms,"7 Lieder, Op. 48",Liebesklage des Mädchens,4,"[6, 7, 16, 17]"
Hugo Wolf,Eichendorff-Lieder,Unfall,4,"[2, 6, 12, 30]"
Franz Schubert,"Winterreise, D.911",Auf dem Flusse,4,"[11, 13, 20, 22]"
Franz Schubert,"Schwanengesang, D.957",Aufenthalt,4,"[17, 19, 121, 123]"
Robert Schumann,"Dichterliebe, Op.48","Im Rhein, im heiligen Strome",3,"[28, 30, 32]"
Peter Cornelius,"6 Lieder, Op.1",Schmetterling,3,"[17, 20]"
Cécile Chaminade,Souhait,Souhait,3,"[21, 23, 40]"
Hugo Wolf,Eichendorff-Lieder,Waldmädchen,3,"[19, 55, 70]"
Hugo Wolf,Eichendorff-Lieder,Das Ständchen,3,"[17, 30, 43]"
Gustav Mahler,Nun will die Sonn' so hell aufgeh'n!,lg-161955474.xml,3,"[22, 41, 70]"
Franz Schubert,"Schwanengesang, D.957",Das Fischermädchen,3,"[13, 34, 55]"
Franz Schubert,Die schöne Müllerin (D.795),Pause,3,"[26, 56, 63]"
Franz Schubert,"Op.59, D.756",Du liebst mich nicht,3,"[5, 44, 49]"
Johannes Brahms,"4 Gesänge, Op.46",Magyarisch,2,"[4, 44]"
Franz Schubert,"Winterreise, D.911",Der stürmische Morgen,2,"[10, 13]"
Franz Schubert,"Winterreise, D.911",Rast,2,"[7, 37]"
Hugo Wolf,Eichendorff-Lieder,Erwartung,2,"[47, 67]"
Hugo Wolf,Eichendorff-Lieder,Heimweh,2,"[5, 26]"
Robert Schumann,"Dichterliebe, Op.48",Ich grolle nicht,2,"[12, 16]"
Franz Schubert,"Winterreise, D.911",Die Nebensonnen,2,"[9, 19]"
Franz Schubert,"Vier Gesänge aus 'Wilhelm Meister', D.877",Lied der Mignon (Heiss mich nicht reden),2,"[13, 31]"
Hugo Wolf,Eichendorff-Lieder,Der verzweifelte Liebhaber,2,[16]
Franz Schubert,Schwanengesang,Die Stadt,2,[32]
Franz Schubert,Schwanengesang (D.975),Am Meer,2,"[22, 23]"
Clara Schumann,Die gute Nacht,Die gute Nacht,2,"[25, 55]"
Franz Schubert,Die schöne Müllerin,Der Jäger,2,"[8, 12]"
Franz Schubert,Die schöne Müllerin,Der Neugierige,2,"[5, 13]"
Hugo Wolf,Eichendorff-Lieder,Der Musikant,2,"[35, 44]"
Franz Schubert,"Vier Gesänge aus 'Wilhelm Meister' (D.877), Op.62",Mignon und der Harfner,2,"[3, 14]"
Robert Schumann,"Frauenliebe und Leben, Op.42","Er, der Herrlichste von allen",2,"[37, 65]"
Franz Schubert,Die schöne Müllerin,Eifersucht und Stolz,2,"[39, 47]"
Robert Franz,"6 Gesänge, Op.16",Du liebes Auge,2,"[3, 12]"
Ernest Chausson,"7 Mélodies, Op.2",Le Charme,2,"[5, 23]"
Franz Schubert,Op.59,Du bist die Ruh,2,"[19, 42]"
Robert Schumann,"Frauenliebe und Leben, Op.42","Süsser Freund, du blickest",1,[27]
Franz Schubert,Schwanengesang,Die Taubenpost,1,[29]
Hugo Wolf,Eichendorff-Lieder,Der Glücksritter,1,[71]
Gustav Mahler,Kindertotenlieder,Wenn dein Mütterlein,1,[48]
Franz Schubert,"Schwanengesang, D.957",Kriegers Ahnung,1,[50]
Franz Schubert,Schwanengesang,Der Doppelgänger,1,[30]
Louise Reichardt,12 Deutsche und Italiänische Romantische Gesänge,Poesia di Metastasio [I],1,[18]
Robert Schumann,"Dichterliebe, Op.48",Hör' ich das Liedchen klingen,1,[27]
Johannes Brahms,5 Lieder,Liebesglut,1,[77]
Robert Franz,"6 Gesänge, Op. 26","Lieber Schatz, sei wieder gut mir",1,[28]
Ernest Chausson,7 Mélodies,Le Colibri,1,[11]
Franz Schubert,Die schöne Müllerin (D.795),Des Müllers Blumen,1,[9]
Louise Reichardt,Zwölf Gesänge,Aus Novalis Hymnen an die Nacht,1,[26]
Robert Schumann,"Dichterliebe, Op.48",Aus meinen Tränen spriessen,1,[15]
Ludwig van Beethoven,"6 Lieder, Op.48",Die Liebe des Nächsten,1,[20]
Robert Schumann,Liederkreis,Zwielicht,1,[6]
Fanny (Mendelssohn) Hensel,"6 Lieder, Op.1",Morgenständchen,1,[2]
Hugo Wolf,Eichendorff-Lieder,Liebesglück,1,[8]
Franz Schubert,"Winterreise, D.911",Letzte Hoffnung,1,[46]
Robert Schumann,"Liederkreis, Op.39",Waldesgespräch,1,[29]
Louise Reichardt,Sechs Lieder von Novalis,"Er besucht den Klostergarten und den Kirchoff, über den letztern findet sich folgendes Gedicht",1,[12]
Hugo Wolf,Eichendorff-Lieder,Seemanns Abschied,1,[53]
Franz Schubert,Schwanengesang,In der Ferne,1,[20]
Ludwig van Beethoven,"6 Lieder, Op.48",Die Ehre Gottes aus der Natur,1,[14]
Fanny (Mendelssohn) Hensel,"6 Lieder, Op.1",Mayenlied,1,[45]
Augusta Holmès,Les Heures,L'Heure d'Azur,1,[16]
Clara Schumann,"6 Lieder, Op.13",Die stille Lotosblume,1,[21]
Hugo Wolf,Eichendorff-Lieder,Der Soldat I,1,[40]
Franz Schubert,Die schöne Müllerin (D.795),Die liebe Farbe,1,[16]
Fanny (Mendelssohn) Hensel,"5 Lieder, Op.10",Im Herbste,1,[2]
Robert Schumann,"Liederkreis, Op.39",Intermezzo,1,[7]
Franz Schubert,"D.778, Op.60",Greisengesang,1,[69]
Hugo Wolf,Eichendorff-Lieder,Die Nacht,1,[19]
Johannes Brahms,"5 Lieder, Op.49",Abenddämmerung,1,[46]
Gustav Mahler,Lieder eines fahrenden Gesellen,Gieng heut morgen übers Feld,1,[38]
Robert Schumann,"Frauenliebe und Leben, Op.42",Nun hast du mir den ersten Schmerz getan,1,[24]
Josephine Lang,"Sechs Lieder, Op.25",Barcarole,1,[7]
Ludwig van Beethoven,"6 Lieder, Op.48",Vom Tode,1,[8]
Gustav Mahler,Kindertotenlieder,"Nun seh' ich wohl, warum so dunkle Flammen",1,[52]
Franz Schubert,"Winterreise, D.911",Muth,1,[43]
