0	4.5	0.125	0.5	['G4']	[]	[0]	[7]
1	1.0	1.0	0.3333333333333333	['E-2', 'G4']	['M17']	[0, 4]	[3, 7]
1	133/100	0.0625	0.3333333333333333	['E-3', 'B-3', 'E-4', 'G4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[3, 7, 10]
1	167/100	0.0625	0.3333333333333333	['E-3', 'B-3', 'E-4', 'G4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[3, 7, 10]
1	2.0	0.25	0.3333333333333333	['E-3', 'B-3', 'E-4', 'G4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[3, 7, 10]
1	233/100	0.0625	0.16666666666666666	['E-3', 'B-3', 'E-4', 'G4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[3, 7, 10]
1	2.5	0.125	0.16666666666666666	['E-3', 'B-3', 'E-4', 'A-4']	['P5', 'P8', 'P11', 'P4', 'm7']	[0, 2, 7]	[8, 10, 3]
1	267/100	0.0625	0.3333333333333333	['E-3', 'F3', 'B-3', 'E-4', 'A-4']	['M2', 'P5', 'P8', 'P11', 'P4', 'm7', 'm10']	[0, 2, 5, 7]	[3, 5, 8, 10]
1	3.0	0.5	0.3333333333333333	['E-3', 'G3', 'B-3', 'E-4', 'B-4']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[3, 7, 10]
1	333/100	0.0625	0.3333333333333333	['E-3', 'G3', 'B-3', 'E-4', 'B-4']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[3, 7, 10]
1	367/100	0.0625	0.3333333333333333	['E-3', 'G3', 'B-3', 'E-4', 'B-4']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[3, 7, 10]
1	4.0	0.25	0.3333333333333333	['E-3', 'A-3', 'E-4', 'C5']	['P4', 'P8', 'M13', 'P5', 'M10', 'M6']	[0, 3, 7]	[8, 0, 3]
1	433/100	0.0625	0.16666666666666666	['E-3', 'A-3', 'E-4', 'C5']	['P4', 'P8', 'M13', 'P5', 'M10', 'M6']	[0, 3, 7]	[8, 0, 3]
1	4.5	0.125	0.16666666666666666	['E-3', 'B-3', 'E-4', 'D5']	['P5', 'P8', 'M14', 'P4', 'M10', 'M7']	[0, 1, 5]	[10, 2, 3]
1	467/100	0.0625	0.3333333333333333	['E-3', 'B-3', 'E-4', 'D5']	['P5', 'P8', 'M14', 'P4', 'M10', 'M7']	[0, 1, 5]	[10, 2, 3]
2	1.0	1.0	0.3333333333333333	['E-3', 'C4', 'E-4', 'E-5']	['M6', 'P8', 'P15', 'm3', 'm10']	[0, 3]	[0, 3]
2	133/100	0.0625	0.3333333333333333	['E-3', 'C4', 'E-4', 'E-5']	['M6', 'P8', 'P15', 'm3', 'm10']	[0, 3]	[0, 3]
2	167/100	0.0625	0.3333333333333333	['E-3', 'C4', 'E-4', 'E-5']	['M6', 'P8', 'P15', 'm3', 'm10']	[0, 3]	[0, 3]
2	2.0	0.25	0.3333333333333333	['E-3', 'D4', 'A-4', 'C5']	['M7', 'P11', 'M13', 'd5', 'm7', 'M3']	[0, 1, 3, 7]	[8, 0, 2, 3]
2	233/100	0.0625	0.3333333333333333	['E-3', 'D4', 'A-4', 'C5']	['M7', 'P11', 'M13', 'd5', 'm7', 'M3']	[0, 1, 3, 7]	[8, 0, 2, 3]
2	267/100	0.0625	0.3333333333333333	['E-3', 'D4', 'A-4', 'C5']	['M7', 'P11', 'M13', 'd5', 'm7', 'M3']	[0, 1, 3, 7]	[8, 0, 2, 3]
2	3.0	0.5	0.3333333333333333	['E-3', 'E-4', 'G4', 'B-4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[3, 7, 10]
2	333/100	0.0625	0.3333333333333333	['E-3', 'E-4', 'G4', 'B-4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[3, 7, 10]
2	367/100	0.0625	0.3333333333333333	['E-3', 'E-4', 'G4', 'B-4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[3, 7, 10]
2	4.0	0.25	0.3333333333333333	['D4', 'E-4', 'G4', 'B-4']	['m2', 'P4', 'm6', 'M3', 'P5', 'm3']	[0, 1, 5, 8]	[2, 3, 7, 10]
2	433/100	0.0625	0.16666666666666666	['D4', 'E-4', 'G4', 'B-4']	['m2', 'P4', 'm6', 'M3', 'P5', 'm3']	[0, 1, 5, 8]	[2, 3, 7, 10]
2	4.5	0.125	0.16666666666666666	['D4', 'E-4', 'G4', 'B-4']	['m2', 'P4', 'm6', 'M3', 'P5', 'm3']	[0, 1, 5, 8]	[2, 3, 7, 10]
2	467/100	0.0625	0.3333333333333333	['D4', 'E-4', 'G4', 'B-4']	['m2', 'P4', 'm6', 'M3', 'P5', 'm3']	[0, 1, 5, 8]	[2, 3, 7, 10]
3	1.0	1.0	0.3333333333333333	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
3	133/100	0.0625	0.3333333333333333	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
3	167/100	0.0625	0.3333333333333333	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
3	2.0	0.25	0.3333333333333333	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
3	233/100	0.0625	0.16666666666666666	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
3	2.5	0.125	0.16666666666666666	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
3	267/100	0.0625	0.3333333333333333	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
3	3.0	0.5	0.3333333333333333	['B-3', 'E-4', 'G4', 'D5']	['P4', 'M6', 'M10', 'M3', 'M7', 'P5']	[0, 1, 5, 8]	[2, 3, 7, 10]
3	333/100	0.0625	0.3333333333333333	['B-3', 'E-4', 'G4', 'D5']	['P4', 'M6', 'M10', 'M3', 'M7', 'P5']	[0, 1, 5, 8]	[2, 3, 7, 10]
