0	3.0	0.5	0.5	['F2']	[]	[0]	[5]
1	1.0	1.0	1.0	['B-1']	[]	[0]	[10]
1	3.0	0.5	0.5	['F2']	[]	[0]	[5]
2	1.0	1.0	0.5	['B-1']	[]	[0]	[10]
2	2.0	0.5	0.5	['B-1', 'F3', 'F4']	['P12', 'P19', 'P8']	[0, 5]	[5, 10]
2	3.0	0.5	0.5	['F2', 'F3', 'F4']	['P8', 'P15']	[0]	[5]
3	1.0	1.0	0.5	['B-1', 'D3', 'B-3', 'B-4']	['M10', 'P15', 'P22', 'm6', 'm13', 'P8']	[0, 4]	[10, 2]
3	2.0	0.5	0.5	['B-1', 'E-3', 'C4', 'C5']	['P11', 'M16', 'M23', 'M6', 'M13', 'P8']	[0, 2, 5]	[10, 0, 3]
3	3.0	0.5	0.5	['F2', 'F3', 'D4', 'D5']	['P8', 'M13', 'M20', 'M6']	[0, 3]	[2, 5]
4	1.0	1.0	0.5	['B-1', 'D3', 'B-3', 'B-4']	['M10', 'P15', 'P22', 'm6', 'm13', 'P8']	[0, 4]	[10, 2]
4	2.0	0.5	0.5	['B-1', 'C3', 'A3', 'A4']	['M9', 'M14', 'M21', 'M6', 'M13', 'P8']	[0, 1, 3]	[9, 10, 0]
4	3.0	0.5	0.5	['F2', 'B-2', 'G3', 'G4']	['P4', 'M9', 'M16', 'M6', 'M13', 'P8']	[0, 2, 5]	[5, 7, 10]
5	1.0	1.0	0.5	['B-1', 'A2', 'F3', 'F4']	['M7', 'P12', 'P19', 'm6', 'm13', 'P8']	[0, 1, 5]	[5, 9, 10]
5	2.0	0.5	0.5	['B-1', 'B-2', 'G3', 'G4']	['P8', 'M13', 'M20', 'M6']	[0, 3]	[7, 10]
5	3.0	0.5	0.5	['F2', 'C3', 'A3', 'A4']	['P5', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 3, 7]	[5, 9, 0]
6	1.0	1.0	0.5	['B-1', 'D3', 'B-3', 'B-4']	['M10', 'P15', 'P22', 'm6', 'm13', 'P8']	[0, 4]	[10, 2]
6	2.0	0.5	0.5	['B-1', 'E-3', 'C4', 'C5']	['P11', 'M16', 'M23', 'M6', 'M13', 'P8']	[0, 2, 5]	[10, 0, 3]
6	3.0	0.5	0.5	['B-2', 'F3', 'D4', 'D5']	['P5', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 3, 7]	[10, 2, 5]
7	1.0	1.0	1.0	['E-2', 'G3', 'E-4', 'E-5']	['M10', 'P15', 'P22', 'm6', 'm13', 'P8']	[0, 4]	[3, 7]
7	3.0	0.5	0.5	['B-2', 'F3', 'D4', 'D5']	['P5', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 3, 7]	[10, 2, 5]
8	1.0	1.0	0.5	['B-1', 'F3', 'B-3', 'D4', 'D5']	['P12', 'P15', 'M17', 'M24', 'P4', 'M6', 'M13', 'M3', 'M10', 'P8']	[0, 3, 7]	[10, 2, 5]
8	2.0	0.5	0.5	['B-1', 'F3', 'C4', 'E-4', 'E-5']	['P12', 'M16', 'P18', 'P25', 'P5', 'm7', 'm14', 'm3', 'm10', 'P8']	[0, 2, 5, 7]	[10, 0, 3, 5]
8	3.0	0.5	0.5	['F2', 'F3', 'D4', 'F4', 'F5']	['P8', 'M13', 'P15', 'P22', 'M6', 'm3', 'm10']	[0, 3]	[2, 5]
9	1.0	1.0	0.5	['B-1', 'F3', 'D4', 'D5']	['P12', 'M17', 'M24', 'M6', 'M13', 'P8']	[0, 3, 7]	[10, 2, 5]
9	2.0	0.5	0.5	['B-1', 'E-3', 'C4', 'C5']	['P11', 'M16', 'M23', 'M6', 'M13', 'P8']	[0, 2, 5]	[10, 0, 3]
9	3.0	0.5	0.5	['F2', 'D3', 'B-3', 'B-4']	['M6', 'P11', 'P18', 'm6', 'm13', 'P8']	[0, 3, 7]	[10, 2, 5]
10	1.0	1.0	0.5	['B-1', 'C3', 'A3', 'A4']	['M9', 'M14', 'M21', 'M6', 'M13', 'P8']	[0, 1, 3]	[9, 10, 0]
10	2.0	0.5	0.5	['B-1', 'D3', 'B-3', 'B-4']	['M10', 'P15', 'P22', 'm6', 'm13', 'P8']	[0, 4]	[10, 2]
