6	2.75	0.125	0.08333333333333333	['C##4', 'E#4', 'G#4', 'A#4', 'C##5', 'G#5', 'A#5']	['m3', 'd5', 'm6', 'P8', 'd12', 'm13', 'P4', 'M6', 'm10', 'P11', 'M2', 'A4', 'M9', 'M3', 'm7']	[0, 2, 5, 8]	[2, 5, 8, 10]
6	283/100	0.0625	0.16666666666666666	['C##4', 'E#4', 'G#4', 'A#4', 'C##5', 'G#5', 'A#5']	['m3', 'd5', 'm6', 'P8', 'd12', 'm13', 'P4', 'M6', 'm10', 'P11', 'M2', 'A4', 'M9', 'M3', 'm7']	[0, 2, 5, 8]	[2, 5, 8, 10]
7	1.0	1.0	0.16666666666666666	['D#3', 'F#4']	['m10']	[0, 3]	[3, 6]
7	117/100	0.0625	0.16666666666666666	['D#4', 'F#4', 'A#4', 'D#5', 'F#5', 'A#5']	['m3', 'P5', 'P8', 'm10', 'P12', 'M3', 'M6', 'M10', 'P4', 'm6']	[0, 3, 7]	[3, 6, 10]
7	133/100	0.0625	0.16666666666666666	['D#4', 'F#4', 'A#4', 'D#5', 'F#5', 'A#5']	['m3', 'P5', 'P8', 'm10', 'P12', 'M3', 'M6', 'M10', 'P4', 'm6']	[0, 3, 7]	[3, 6, 10]
7	1.5	0.25	0.16666666666666666	['D#4', 'F#4', 'A#4', 'D#5', 'F#5', 'A#5']	['m3', 'P5', 'P8', 'm10', 'P12', 'M3', 'M6', 'M10', 'P4', 'm6']	[0, 3, 7]	[3, 6, 10]
7	167/100	0.0625	0.16666666666666666	['D#4', 'F#4', 'A#4', 'D#5', 'F#5', 'A#5']	['m3', 'P5', 'P8', 'm10', 'P12', 'M3', 'M6', 'M10', 'P4', 'm6']	[0, 3, 7]	[3, 6, 10]
7	183/100	0.0625	0.16666666666666666	['D#4', 'F#4', 'A#4', 'D#5', 'F#5', 'A#5']	['m3', 'P5', 'P8', 'm10', 'P12', 'M3', 'M6', 'M10', 'P4', 'm6']	[0, 3, 7]	[3, 6, 10]
7	2.0	0.5	0.16666666666666666	['D#4', 'F#4', 'A#4', 'D#5', 'F#5', 'A#5']	['m3', 'P5', 'P8', 'm10', 'P12', 'M3', 'M6', 'M10', 'P4', 'm6']	[0, 3, 7]	[3, 6, 10]
7	217/100	0.0625	0.16666666666666666	['C#4', 'C#5']	['P8']	[0]	[1]
7	233/100	0.0625	0.16666666666666666	['C#4', 'F#4', 'A#4', 'C#5', 'F#5', 'A#5']	['P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[6, 10, 1]
7	2.5	0.25	0.16666666666666666	['C#4', 'F#4', 'A#4', 'C#5', 'F#5', 'A#5']	['P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[6, 10, 1]
7	267/100	0.0625	0.16666666666666666	['C#4', 'F#4', 'A#4', 'C#5', 'F#5', 'A#5']	['P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[6, 10, 1]
7	283/100	0.0625	0.16666666666666666	['C#4', 'F#4', 'A#4', 'C#5', 'F#5', 'A#5']	['P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[6, 10, 1]
8	1.0	1.0	0.16666666666666666	['G#3', 'A#4']	['M9']	[0, 2]	[8, 10]
8	117/100	0.0625	0.16666666666666666	['B#3', 'F#4', 'A#4', 'B#4', 'F#5', 'A#5']	['d5', 'm7', 'P8', 'd12', 'm14', 'M3', 'A4', 'M10', 'M2', 'm6']	[0, 2, 6]	[6, 10, 0]
8	133/100	0.0625	0.16666666666666666	['B#3', 'F#4', 'A#4', 'B#4', 'F#5', 'A#5']	['d5', 'm7', 'P8', 'd12', 'm14', 'M3', 'A4', 'M10', 'M2', 'm6']	[0, 2, 6]	[6, 10, 0]
8	1.5	0.25	0.16666666666666666	['B#3', 'F#4', 'A#4', 'B#4', 'F#5', 'A#5']	['d5', 'm7', 'P8', 'd12', 'm14', 'M3', 'A4', 'M10', 'M2', 'm6']	[0, 2, 6]	[6, 10, 0]
8	167/100	0.0625	0.08333333333333333	['B#3', 'F#4', 'A#4', 'B#4', 'F#5', 'A#5']	['d5', 'm7', 'P8', 'd12', 'm14', 'M3', 'A4', 'M10', 'M2', 'm6']	[0, 2, 6]	[6, 10, 0]
8	1.75	0.125	0.08333333333333333	['B#3', 'D#4', 'F#4', 'A#4', 'B#4', 'F#5', 'A#5']	['m3', 'd5', 'm7', 'P8', 'd12', 'm14', 'P5', 'M6', 'm10', 'P12', 'M3', 'A4', 'M10', 'M2', 'm6']	[0, 2, 5, 8]	[10, 0, 3, 6]
8	183/100	0.0625	0.16666666666666666	['B#3', 'D#4', 'F#4', 'A#4', 'B#4', 'F#5', 'A#5']	['m3', 'd5', 'm7', 'P8', 'd12', 'm14', 'P5', 'M6', 'm10', 'P12', 'M3', 'A4', 'M10', 'M2', 'm6']	[0, 2, 5, 8]	[10, 0, 3, 6]
8	2.0	0.5	0.25	['B#3', 'D#4', 'F#4', 'A#4', 'B#4', 'F#5', 'A#5']	['m3', 'd5', 'm7', 'P8', 'd12', 'm14', 'P5', 'M6', 'm10', 'P12', 'M3', 'A4', 'M10', 'M2', 'm6']	[0, 2, 5, 8]	[10, 0, 3, 6]
8	2.25	0.125	0.25	['D#4', 'F#4', 'G#4', 'B#4', 'D#5']	['m3', 'P4', 'M6', 'P8', 'M2', 'A4', 'M3', 'P5']	[0, 2, 5, 8]	[0, 3, 6, 8]
8	2.5	0.25	0.25	['E#4', 'G#4', 'B#4', 'E#5']	['m3', 'P5', 'P8', 'M3', 'M6', 'P4']	[0, 3, 7]	[5, 8, 0]
