0	2.5	0.25	0.5	['E4']	[]	[0]	[4]
1	1.0	1.0	1.0	['C4', 'E4', 'A4']	['M3', 'M6', 'P4']	[0, 3, 7]	[9, 0, 4]
1	2.0	0.5	1.0	['A3', 'E4', 'C5']	['P5', 'm10', 'm6']	[0, 3, 7]	[9, 0, 4]
2	1.0	1.0	1.0	['G#3', 'E4', 'B4']	['m6', 'm10', 'P5']	[0, 3, 7]	[4, 8, 11]
2	2.0	0.5	0.5	['E3', 'G#4', 'E5']	['M10', 'P15', 'm6']	[0, 4]	[4, 8]
2	2.5	0.25	0.5	['E3', 'G#4', 'E5']	['M10', 'P15', 'm6']	[0, 4]	[4, 8]
3	1.0	1.0	0.5	['A3', 'E4', 'C5']	['P5', 'm10', 'm6']	[0, 3, 7]	[9, 0, 4]
3	1.5	0.25	0.5	['A3', 'E4', 'B4', 'C5']	['P5', 'M9', 'm10', 'm6', 'm2']	[0, 2, 3, 7]	[9, 11, 0, 4]
3	2.0	0.5	1.0	['C4', 'E4', 'A4']	['M3', 'M6', 'P4']	[0, 3, 7]	[9, 0, 4]
4	1.0	1.0	1.0	['E4', 'G#4', 'B4']	['M3', 'P5', 'm3']	[0, 3, 7]	[4, 8, 11]
4	2.0	0.5	1.0	['B3', 'D#4', 'F#4', 'B4']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[11, 3, 6]
5	1.0	1.0	1.0	['E3', 'E4', 'G#4', 'B4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[4, 8, 11]
5	2.0	0.5	1.0	['B2', 'D#4', 'F#4']	['M10', 'P12', 'm3']	[0, 3, 7]	[11, 3, 6]
6	1.0	1.0	1.0	['G#2', 'E4', 'B4']	['m13', 'm17', 'P5']	[0, 3, 7]	[4, 8, 11]
6	2.0	0.5	1.0	['E2', 'G#4', 'E5']	['M17', 'P22', 'm6']	[0, 4]	[4, 8]
7	1.0	1.0	0.5	['A2', 'E4', 'C5']	['P12', 'm17', 'm6']	[0, 3, 7]	[9, 0, 4]
7	1.5	0.25	0.5	['A2', 'E4', 'B4', 'C5']	['P12', 'M16', 'm17', 'P5', 'm6', 'm2']	[0, 2, 3, 7]	[9, 11, 0, 4]
7	2.0	0.5	1.0	['C3', 'E4', 'A4']	['M10', 'M13', 'P4']	[0, 3, 7]	[9, 0, 4]
8	1.0	1.0	1.0	['D3', 'F4', 'A4', 'B4']	['m10', 'P12', 'M13', 'M3', 'A4', 'M2']	[0, 2, 5, 8]	[9, 11, 2, 5]
8	2.0	0.5	0.5	['E3', 'E4', 'G#4', 'B4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[4, 8, 11]
8	2.5	0.25	0.5	['E3', 'E4', 'G#4', 'B4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[4, 8, 11]
9	1.0	1.0	1.0	['A2', 'E4', 'A4', 'C5']	['P12', 'P15', 'm17', 'P4', 'm6', 'm3']	[0, 3, 7]	[9, 0, 4]
9	2.0	0.5	1.0	['D2', 'F4', 'A4', 'D5']	['m17', 'P19', 'P22', 'M3', 'M6', 'P4']	[0, 3, 7]	[2, 5, 9]
10	1.0	1.0	1.0	['A2', 'E4', 'A4', 'C5']	['P12', 'P15', 'm17', 'P4', 'm6', 'm3']	[0, 3, 7]	[9, 0, 4]
10	2.0	0.5	1.0	['A2', 'E4', 'A4', 'C5', 'E5']	['P12', 'P15', 'm17', 'P19', 'P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[9, 0, 4]
11	1.0	1.0	2.0	['A2', 'E4', 'A4', 'C5', 'E5']	['P12', 'P15', 'm17', 'P19', 'P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[9, 0, 4]
12	1.0	1.0	1.0	['C2', 'C3', 'E4', 'G4', 'C5']	['P8', 'M17', 'P19', 'P22', 'M10', 'P12', 'P15', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
12	2.0	0.5	1.0	['C2', 'C3', 'E4', 'G4', 'E5']	['P8', 'M17', 'P19', 'M24', 'M10', 'P12', 'm3', 'M6']	[0, 3, 7]	[0, 4, 7]
13	1.0	1.0	1.0	['E2', 'E3', 'E4', 'G#4', 'E5']	['P8', 'P15', 'M17', 'P22', 'M10', 'M3', 'm6']	[0, 4]	[4, 8]
13	2.0	0.5	0.5	['E2', 'E3', 'E4', 'G#4', 'E5']	['P8', 'P15', 'M17', 'P22', 'M10', 'M3', 'm6']	[0, 4]	[4, 8]
13	2.5	0.25	0.5	['E2', 'E3', 'E4', 'G#4', 'E5']	['P8', 'P15', 'M17', 'P22', 'M10', 'M3', 'm6']	[0, 4]	[4, 8]
14	1.0	1.0	0.5	['E2', 'E3', 'E4', 'G#4', 'E5']	['P8', 'P15', 'M17', 'P22', 'M10', 'M3', 'm6']	[0, 4]	[4, 8]
14	1.5	0.25	1.5	['E2', 'E3', 'E4', 'G#4', 'E5']	['P8', 'P15', 'M17', 'P22', 'M10', 'M3', 'm6']	[0, 4]	[4, 8]
15	1.0	1.0	1.0	['E2', 'E3', 'E4', 'G#4', 'E5']	['P8', 'P15', 'M17', 'P22', 'M10', 'M3', 'm6']	[0, 4]	[4, 8]
15	2.0	0.5	1.0	['C2', 'C3', 'C5', 'E5']	['P8', 'P22', 'M24', 'P15', 'M17', 'M3']	[0, 4]	[0, 4]
16	1.0	1.0	1.0	['G2', 'G3', 'G4', 'B4', 'D5', 'E5']	['P8', 'P15', 'M17', 'P19', 'M20', 'M10', 'P12', 'M13', 'M3', 'P5', 'M6', 'm3', 'P4', 'M2']	[0, 3, 5, 8]	[11, 2, 4, 7]
16	2.0	0.5	1.0	['G2', 'G3', 'C4', 'A4', 'C5']	['P8', 'P11', 'M16', 'P18', 'P4', 'M9', 'M6', 'm3']	[0, 2, 5]	[7, 9, 0]
17	1.0	1.0	1.0	['G2', 'G3', 'G4', 'B4', 'D5']	['P8', 'P15', 'M17', 'P19', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[7, 11, 2]
17	2.0	0.5	1.0	['G2', 'G3', 'G4', 'B4', 'D5']	['P8', 'P15', 'M17', 'P19', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[7, 11, 2]
18	1.0	1.0	1.0	['G2', 'G3', 'G4', 'A4', 'C5']	['P8', 'P15', 'M16', 'P18', 'M9', 'P11', 'M2', 'P4', 'm3']	[0, 2, 5]	[7, 9, 0]
18	2.0	0.5	1.0	['G2', 'G3', 'C4', 'G4', 'A4']	['P8', 'P11', 'P15', 'M16', 'P4', 'M9', 'P5', 'M6', 'M2']	[0, 2, 5]	[7, 9, 0]
19	1.0	1.0	1.0	['G2', 'G3', 'G4', 'B4']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[7, 11]
19	2.0	0.5	1.0	['G2', 'G3', 'G4', 'B4']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[7, 11]
20	1.0	1.0	1.0	['G2', 'G3', 'G4', 'B4']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[7, 11]
20	2.0	0.5	1.0	['G2', 'C3', 'G4', 'A4', 'C5']	['P4', 'P15', 'M16', 'P18', 'P12', 'M13', 'M2', 'm3']	[0, 2, 5]	[7, 9, 0]
21	1.0	1.0	1.0	['G2', 'G3', 'G4', 'B4', 'D5']	['P8', 'P15', 'M17', 'P19', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[7, 11, 2]
21	2.0	0.5	1.0	['G2', 'G3', 'G4', 'B4', 'D5']	['P8', 'P15', 'M17', 'P19', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[7, 11, 2]
22	1.0	1.0	1.0	['G2', 'G3', 'G4', 'C5', 'E5']	['P8', 'P15', 'P18', 'M20', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
