0	2.75	0.125	0.25	['B4']	[]	[0]	[11]
4	2.75	0.125	0.125	['D3', 'D4', 'B4', 'D5']	['P8', 'M13', 'P15', 'M6', 'm3']	[0, 3]	[11, 2]
4	2.88	0.0625	0.125	['D3', 'F#4', 'B4', 'D5']	['M10', 'M13', 'P15', 'P4', 'm6', 'm3']	[0, 3, 7]	[11, 2, 6]
5	1.0	1.0	0.125	['E3', 'D5', 'G5']	['m14', 'm17', 'P4']	[0, 2, 5]	[2, 4, 7]
5	1.12	0.0625	0.125	['E3', 'D4', 'D5', 'G5']	['m7', 'm14', 'm17', 'P8', 'P11', 'P4']	[0, 2, 5]	[2, 4, 7]
5	1.25	0.125	0.125	['E3', 'G4', 'D5', 'G5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[2, 4, 7]
5	1.38	0.0625	0.125	['E3', 'B-4', 'D5', 'G5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
5	1.5	0.25	0.125	['E3', 'D5', 'G5']	['m14', 'm17', 'P4']	[0, 2, 5]	[2, 4, 7]
5	1.62	0.0625	0.125	['E3', 'D4', 'D5', 'G5']	['m7', 'm14', 'm17', 'P8', 'P11', 'P4']	[0, 2, 5]	[2, 4, 7]
5	1.75	0.125	0.125	['E3', 'G4', 'D5', 'G5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[2, 4, 7]
5	1.88	0.0625	0.125	['E3', 'B-4', 'D5', 'G5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
5	2.0	0.5	0.125	['A3', 'C#5', 'E5']	['M10', 'P12', 'm3']	[0, 3, 7]	[9, 1, 4]
5	2.12	0.0625	0.125	['A3', 'C#4', 'C#5', 'E5']	['M3', 'M10', 'P12', 'P8', 'm10', 'm3']	[0, 3, 7]	[9, 1, 4]
5	2.25	0.125	0.125	['A3', 'G4', 'C#5', 'E5']	['m7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[1, 4, 7, 9]
5	2.38	0.0625	0.125	['A3', 'A4', 'C#5', 'E5']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[9, 1, 4]
5	2.5	0.25	0.125	['A3', 'D5', 'E5']	['P11', 'P12', 'M2']	[0, 2, 7]	[2, 4, 9]
5	2.62	0.0625	0.125	['A3', 'C#4', 'D5', 'E5']	['M3', 'P11', 'P12', 'm9', 'm10', 'M2']	[0, 2, 3, 7]	[9, 1, 2, 4]
5	2.75	0.125	0.125	['A3', 'G4', 'E5']	['m7', 'P12', 'M6']	[0, 2, 5]	[4, 7, 9]
5	2.88	0.0625	0.125	['A3', 'A4', 'E5']	['P8', 'P12', 'P5']	[0, 5]	[4, 9]
6	1.0	1.0	0.125	['D3', 'F#5']	['M17']	[0, 4]	[2, 6]
6	1.12	0.0625	0.125	['D3', 'C#4', 'F#5']	['M7', 'M17', 'P11']	[0, 1, 5]	[1, 2, 6]
6	1.25	0.125	0.125	['D3', 'F#4', 'F#5']	['M10', 'M17', 'P8']	[0, 4]	[2, 6]
6	1.38	0.0625	0.125	['D3', 'A4', 'F#5']	['P12', 'M17', 'M6']	[0, 3, 7]	[2, 6, 9]
6	1.5	0.25	0.125	['D3', 'F#5']	['M17']	[0, 4]	[2, 6]
6	1.62	0.0625	0.125	['D3', 'C#4', 'F#5']	['M7', 'M17', 'P11']	[0, 1, 5]	[1, 2, 6]
6	1.75	0.125	0.125	['D3', 'F#4', 'F#5']	['M10', 'M17', 'P8']	[0, 4]	[2, 6]
6	1.88	0.0625	0.125	['D3', 'A4', 'F#5']	['P12', 'M17', 'M6']	[0, 3, 7]	[2, 6, 9]
6	2.0	0.5	0.125	['G3', 'D5']	['P12']	[0, 5]	[2, 7]
6	2.12	0.0625	0.125	['G3', 'B3', 'D5']	['M3', 'P12', 'm10']	[0, 3, 7]	[7, 11, 2]
6	2.25	0.125	0.125	['G3', 'D4', 'D5']	['P5', 'P12', 'P8']	[0, 5]	[2, 7]
6	2.38	0.0625	0.125	['G3', 'F#4', 'D5']	['M7', 'P12', 'm6']	[0, 1, 5]	[2, 6, 7]
6	2.5	0.25	0.125	['G3', 'D5']	['P12']	[0, 5]	[2, 7]
6	2.62	0.0625	0.125	['G3', 'B3', 'D5']	['M3', 'P12', 'm10']	[0, 3, 7]	[7, 11, 2]
6	2.75	0.125	0.125	['G3', 'D4', 'D5']	['P5', 'P12', 'P8']	[0, 5]	[2, 7]
6	2.88	0.0625	0.125	['G3', 'F#4', 'D5']	['M7', 'P12', 'm6']	[0, 1, 5]	[2, 6, 7]
7	1.0	1.0	0.125	['C#3', 'E5']	['m17']	[0, 3]	[1, 4]
7	1.12	0.0625	0.125	['C#3', 'B3', 'E5']	['m7', 'm17', 'P11']	[0, 2, 5]	[11, 1, 4]
7	1.25	0.125	0.125	['C#3', 'E4', 'E5']	['m10', 'm17', 'P8']	[0, 3]	[1, 4]
7	1.38	0.0625	0.125	['C#3', 'A#3', 'G4', 'E5']	['M6', 'd12', 'm17', 'd7']	[0, 3, 6, 9]	[1, 4, 7, 10]
7	1.5	0.25	0.125	['D3', 'G4', 'D5']	['P11', 'P15', 'P5']	[0, 5]	[2, 7]
7	1.62	0.0625	0.125	['D3', 'B3', 'G4', 'D5']	['M6', 'P11', 'P15', 'm6', 'm10', 'P5']	[0, 3, 7]	[7, 11, 2]
7	1.75	0.125	0.125	['D3', 'D4', 'D5']	['P8', 'P15']	[0]	[2]
7	1.88	0.0625	0.125	['D3', 'F#4', 'D5']	['M10', 'P15', 'm6']	[0, 4]	[2, 6]
7	2.0	0.5	0.125	['E3', 'C#5']	['M13']	[0, 3]	[1, 4]
7	2.12	0.0625	0.125	['E3', 'G3', 'C#5']	['m3', 'M13', 'A11']	[0, 3, 6]	[1, 4, 7]
7	2.25	0.125	0.125	['E3', 'C#4', 'C#5']	['M6', 'M13', 'P8']	[0, 3]	[1, 4]
7	2.38	0.0625	0.125	['E3', 'E4', 'C#5']	['P8', 'M13', 'M6']	[0, 3]	[1, 4]
7	2.5	0.25	0.125	['E#3', 'B4']	['d12']	[0, 6]	[5, 11]
7	2.62	0.0625	0.125	['E#3', 'G#3', 'B4']	['m3', 'd12', 'm10']	[0, 3, 6]	[5, 8, 11]
7	2.75	0.125	0.125	['E#3', 'B3', 'B4']	['d5', 'd12', 'P8']	[0, 6]	[5, 11]
7	2.88	0.0625	0.125	['E#3', 'D4', 'B4']	['d7', 'd12', 'M6']	[0, 3, 6]	[11, 2, 5]
8	1.0	1.0	0.125	['F#2', 'A#4']	['M17']	[0, 4]	[6, 10]
8	1.12	0.0625	0.125	['F#2', 'F#3', 'A#4']	['P8', 'M17', 'M10']	[0, 4]	[6, 10]
8	1.25	0.125	0.125	['F#2', 'A#3', 'A#4']	['M10', 'M17', 'P8']	[0, 4]	[6, 10]
8	1.38	0.0625	0.125	['F#2', 'C#4', 'A#4']	['P12', 'M17', 'M6']	[0, 3, 7]	[6, 10, 1]
8	1.5	0.25	0.125	['E3', 'F#4']	['M9']	[0, 2]	[4, 6]
8	1.62	0.0625	0.125	['E3', 'F#3', 'F#4']	['M2', 'M9', 'P8']	[0, 2]	[4, 6]
8	1.75	0.125	0.125	['E3', 'A#3', 'F#4']	['A4', 'M9', 'm6']	[0, 2, 6]	[4, 6, 10]
8	1.88	0.0625	0.125	['E3', 'C#4', 'F#4']	['M6', 'M9', 'P4']	[0, 2, 5]	[1, 4, 6]
8	2.0	0.5	0.125	['E3', 'F#4']	['M9']	[0, 2]	[4, 6]
8	2.12	0.0625	0.125	['E3', 'F#3', 'F#4']	['M2', 'M9', 'P8']	[0, 2]	[4, 6]
8	2.25	0.125	0.125	['E3', 'A#3', 'F#4']	['A4', 'M9', 'm6']	[0, 2, 6]	[4, 6, 10]
8	2.38	0.0625	0.125	['E3', 'C#4', 'F#4']	['M6', 'M9', 'P4']	[0, 2, 5]	[1, 4, 6]
8	2.5	0.25	0.125	['D3', 'B4']	['M13']	[0, 3]	[11, 2]
8	2.62	0.0625	0.125	['D3', 'F#3', 'B4']	['M3', 'M13', 'P11']	[0, 3, 7]	[11, 2, 6]
8	2.75	0.125	0.125	['D3', 'B3', 'B4']	['M6', 'M13', 'P8']	[0, 3]	[11, 2]
8	2.88	0.0625	0.125	['D3', 'D4', 'B4']	['P8', 'M13', 'M6']	[0, 3]	[11, 2]
9	1.0	1.0	0.125	['C#3', 'B4', 'E5']	['m14', 'm17', 'P4']	[0, 2, 5]	[11, 1, 4]
9	1.12	0.0625	0.125	['C#3', 'B3', 'B4', 'E5']	['m7', 'm14', 'm17', 'P8', 'P11', 'P4']	[0, 2, 5]	[11, 1, 4]
9	1.25	0.125	0.125	['C#3', 'E4', 'B4', 'E5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[11, 1, 4]
9	1.38	0.0625	0.125	['C#3', 'G4', 'B4', 'E5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[11, 1, 4, 7]
9	1.5	0.25	0.125	['C#3', 'B4', 'E5']	['m14', 'm17', 'P4']	[0, 2, 5]	[11, 1, 4]
9	1.62	0.0625	0.125	['C#3', 'B3', 'B4', 'E5']	['m7', 'm14', 'm17', 'P8', 'P11', 'P4']	[0, 2, 5]	[11, 1, 4]
9	1.75	0.125	0.125	['C#3', 'E4', 'B4', 'E5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[11, 1, 4]
9	1.88	0.0625	0.125	['C#3', 'G4', 'B4', 'E5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[11, 1, 4, 7]
9	2.0	0.5	0.125	['F#3', 'A#4', 'C#5']	['M10', 'P12', 'm3']	[0, 3, 7]	[6, 10, 1]
9	2.12	0.0625	0.125	['F#3', 'A#3', 'A#4', 'C#5']	['M3', 'M10', 'P12', 'P8', 'm10', 'm3']	[0, 3, 7]	[6, 10, 1]
9	2.25	0.125	0.125	['F#3', 'E4', 'A#4', 'C#5']	['m7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[10, 1, 4, 6]
9	2.38	0.0625	0.125	['F#3', 'F#4', 'A#4', 'C#5']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[6, 10, 1]
9	2.5	0.25	0.125	['F#3', 'B4', 'C#5']	['P11', 'P12', 'M2']	[0, 2, 7]	[11, 1, 6]
9	2.62	0.0625	0.125	['F#3', 'A#3', 'B4', 'C#5']	['M3', 'P11', 'P12', 'm9', 'm10', 'M2']	[0, 2, 3, 7]	[6, 10, 11, 1]
9	2.75	0.125	0.125	['F#3', 'E4', 'C#5']	['m7', 'P12', 'M6']	[0, 2, 5]	[1, 4, 6]
9	2.88	0.0625	0.125	['F#3', 'F#4', 'C#5']	['P8', 'P12', 'P5']	[0, 5]	[1, 6]
10	1.0	1.0	0.125	['B2', 'D5']	['m17']	[0, 3]	[11, 2]
10	1.12	0.0625	0.125	['B2', 'B3', 'D5']	['P8', 'm17', 'm10']	[0, 3]	[11, 2]
10	1.25	0.125	0.125	['B2', 'D4', 'D5']	['m10', 'm17', 'P8']	[0, 3]	[11, 2]
10	1.38	0.0625	0.125	['B2', 'F#4', 'D5']	['P12', 'm17', 'm6']	[0, 3, 7]	[11, 2, 6]
10	1.5	0.25	0.125	['B2', 'D5']	['m17']	[0, 3]	[11, 2]
10	1.62	0.0625	0.125	['B2', 'B3', 'D5']	['P8', 'm17', 'm10']	[0, 3]	[11, 2]
10	1.75	0.125	0.125	['B2', 'D4', 'D5']	['m10', 'm17', 'P8']	[0, 3]	[11, 2]
10	1.88	0.0625	0.125	['B2', 'F#4', 'D5']	['P12', 'm17', 'm6']	[0, 3, 7]	[11, 2, 6]
10	2.0	0.5	0.125	['D3', 'B4']	['M13']	[0, 3]	[11, 2]
10	2.12	0.0625	0.125	['D3', 'B3', 'B4']	['M6', 'M13', 'P8']	[0, 3]	[11, 2]
10	2.25	0.125	0.125	['D3', 'D4', 'B4']	['P8', 'M13', 'M6']	[0, 3]	[11, 2]
10	2.38	0.0625	0.125	['D3', 'F#4', 'B4']	['M10', 'M13', 'P4']	[0, 3, 7]	[11, 2, 6]
10	2.5	0.25	0.125	['D3', 'B4']	['M13']	[0, 3]	[11, 2]
10	2.62	0.0625	0.125	['D3', 'B3', 'B4']	['M6', 'M13', 'P8']	[0, 3]	[11, 2]
10	2.75	0.125	0.125	['D3', 'D4', 'B4']	['P8', 'M13', 'M6']	[0, 3]	[11, 2]
10	2.88	0.0625	0.125	['D3', 'F#4', 'B4']	['M10', 'M13', 'P4']	[0, 3, 7]	[11, 2, 6]
11	1.0	1.0	0.125	['C#3', 'B4', 'E5']	['m14', 'm17', 'P4']	[0, 2, 5]	[11, 1, 4]
11	1.12	0.0625	0.125	['C#3', 'B3', 'B4', 'E5']	['m7', 'm14', 'm17', 'P8', 'P11', 'P4']	[0, 2, 5]	[11, 1, 4]
11	1.25	0.125	0.125	['C#3', 'E4', 'B4', 'E5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[11, 1, 4]
11	1.38	0.0625	0.125	['C#3', 'G4', 'B4', 'E5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[11, 1, 4, 7]
11	1.5	0.25	0.125	['C#3', 'B4', 'E5']	['m14', 'm17', 'P4']	[0, 2, 5]	[11, 1, 4]
11	1.62	0.0625	0.125	['C#3', 'B3', 'B4', 'E5']	['m7', 'm14', 'm17', 'P8', 'P11', 'P4']	[0, 2, 5]	[11, 1, 4]
11	1.75	0.125	0.125	['C#3', 'E4', 'B4', 'E5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[11, 1, 4]
11	1.88	0.0625	0.125	['C#3', 'G4', 'B4', 'E5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[11, 1, 4, 7]
11	2.0	0.5	0.125	['F#3', 'A#4', 'C#5']	['M10', 'P12', 'm3']	[0, 3, 7]	[6, 10, 1]
11	2.12	0.0625	0.125	['F#3', 'A#3', 'A#4', 'C#5']	['M3', 'M10', 'P12', 'P8', 'm10', 'm3']	[0, 3, 7]	[6, 10, 1]
11	2.25	0.125	0.125	['F#3', 'E4', 'A#4', 'C#5']	['m7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[10, 1, 4, 6]
11	2.38	0.0625	0.125	['F#3', 'F#4', 'A#4', 'C#5']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[6, 10, 1]
11	2.5	0.25	0.125	['F#3', 'B4', 'C#5']	['P11', 'P12', 'M2']	[0, 2, 7]	[11, 1, 6]
11	2.62	0.0625	0.125	['F#3', 'A#3', 'B4', 'C#5']	['M3', 'P11', 'P12', 'm9', 'm10', 'M2']	[0, 2, 3, 7]	[6, 10, 11, 1]
11	2.75	0.125	0.125	['F#3', 'E4', 'C#5']	['m7', 'P12', 'M6']	[0, 2, 5]	[1, 4, 6]
11	2.88	0.0625	0.125	['F#3', 'F#4', 'C#5']	['P8', 'P12', 'P5']	[0, 5]	[1, 6]
12	1.0	1.0	0.125	['B2', 'D5']	['m17']	[0, 3]	[11, 2]
12	1.12	0.0625	0.125	['B2', 'B3', 'D5']	['P8', 'm17', 'm10']	[0, 3]	[11, 2]
12	1.25	0.125	0.125	['B2', 'D4', 'D5']	['m10', 'm17', 'P8']	[0, 3]	[11, 2]
12	1.38	0.0625	0.125	['B2', 'F#4', 'D5']	['P12', 'm17', 'm6']	[0, 3, 7]	[11, 2, 6]
12	1.5	0.25	0.125	['B2', 'D5']	['m17']	[0, 3]	[11, 2]
12	1.62	0.0625	0.125	['B2', 'B3', 'D5']	['P8', 'm17', 'm10']	[0, 3]	[11, 2]
12	1.75	0.125	0.125	['B2', 'D4', 'D5']	['m10', 'm17', 'P8']	[0, 3]	[11, 2]
12	1.88	0.0625	0.125	['B2', 'F#4', 'D5']	['P12', 'm17', 'm6']	[0, 3, 7]	[11, 2, 6]
12	2.0	0.5	0.125	['D3', 'B4']	['M13']	[0, 3]	[11, 2]
12	2.12	0.0625	0.125	['D3', 'B3', 'B4']	['M6', 'M13', 'P8']	[0, 3]	[11, 2]
12	2.25	0.125	0.125	['D3', 'D4', 'B4']	['P8', 'M13', 'M6']	[0, 3]	[11, 2]
12	2.38	0.0625	0.125	['D3', 'F#4', 'B4']	['M10', 'M13', 'P4']	[0, 3, 7]	[11, 2, 6]
12	2.5	0.25	0.125	['D3', 'B4', 'D5']	['M13', 'P15', 'm3']	[0, 3]	[11, 2]
12	2.62	0.0625	0.125	['D3', 'B3', 'B4', 'D5']	['M6', 'M13', 'P15', 'P8', 'm10', 'm3']	[0, 3]	[11, 2]
12	2.75	0.125	0.125	['D3', 'D4', 'B4', 'D5']	['P8', 'M13', 'P15', 'M6', 'm3']	[0, 3]	[11, 2]
12	2.88	0.0625	0.125	['D3', 'F#4', 'B4', 'D5']	['M10', 'M13', 'P15', 'P4', 'm6', 'm3']	[0, 3, 7]	[11, 2, 6]
13	1.0	1.0	0.125	['E3', 'D5', 'G5']	['m14', 'm17', 'P4']	[0, 2, 5]	[2, 4, 7]
13	1.12	0.0625	0.125	['E3', 'D4', 'D5', 'G5']	['m7', 'm14', 'm17', 'P8', 'P11', 'P4']	[0, 2, 5]	[2, 4, 7]
13	1.25	0.125	0.125	['E3', 'G4', 'D5', 'G5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[2, 4, 7]
13	1.38	0.0625	0.125	['E3', 'B-4', 'D5', 'G5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
13	1.5	0.25	0.125	['E3', 'D5', 'G5']	['m14', 'm17', 'P4']	[0, 2, 5]	[2, 4, 7]
13	1.62	0.0625	0.125	['E3', 'D4', 'D5', 'G5']	['m7', 'm14', 'm17', 'P8', 'P11', 'P4']	[0, 2, 5]	[2, 4, 7]
13	1.75	0.125	0.125	['E3', 'G4', 'D5', 'G5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[2, 4, 7]
13	1.88	0.0625	0.125	['E3', 'B-4', 'D5', 'G5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
13	2.0	0.5	0.125	['A3', 'C#5', 'E5']	['M10', 'P12', 'm3']	[0, 3, 7]	[9, 1, 4]
13	2.12	0.0625	0.125	['A3', 'C#4', 'C#5', 'E5']	['M3', 'M10', 'P12', 'P8', 'm10', 'm3']	[0, 3, 7]	[9, 1, 4]
13	2.25	0.125	0.125	['A3', 'G4', 'C#5', 'E5']	['m7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[1, 4, 7, 9]
13	2.38	0.0625	0.125	['A3', 'A4', 'C#5', 'E5']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[9, 1, 4]
