1	1.0	1.0	1.0	['B-2', 'F3', 'B-3', 'D4', 'F4', 'B-4']	['P5', 'P8', 'M10', 'P12', 'P15', 'P4', 'M6', 'P11', 'M3', 'm3', 'm6']	[0, 3, 7]	[10, 2, 5]
1	2.0	0.5	1/6				
1	13/6	0.0625	1/6	['F4']	[]	[0]	[5]
1	7/3	0.0625	1/6	['G4']	[]	[0]	[7]
1	2.5	0.25	1/6	['A4']	[]	[0]	[9]
1	8/3	0.0625	1/6	['B-4']	[]	[0]	[10]
1	17/6	0.0625	1/6	['C5']	[]	[0]	[0]
2	1.0	1.0	0.5	['B-3', 'D4', 'D5']	['M3', 'M10', 'P8']	[0, 4]	[10, 2]
2	1.5	0.25	0.375	['F5']	[]	[0]	[5]
2	1.875	0.0625	0.125	['F4']	[]	[0]	[5]
2	2.0	0.5	0.5	['G3', 'B-3', 'D4', 'G4']	['m3', 'P5', 'P8', 'M3', 'M6', 'P4']	[0, 3, 7]	[7, 10, 2]
2	2.5	0.25	0.375	['D5']	[]	[0]	[2]
2	2.875	0.0625	0.125	['D4']	[]	[0]	[2]
3	1.0	1.0	0.5	['F3', 'B-3', 'D4', 'F4']	['P4', 'M6', 'P8', 'M3', 'P5', 'm3']	[0, 3, 7]	[10, 2, 5]
3	1.5	0.25	0.375	['F3', 'E-4', 'F4', 'A4', 'D5']	['m7', 'P8', 'M10', 'M13', 'M2', 'A4', 'M7', 'M3', 'M6', 'P4']	[0, 1, 3, 7]	[2, 3, 5, 9]
3	1.875	0.0625	0.125	['F3', 'E-4', 'F4', 'A4', 'C5']	['m7', 'P8', 'M10', 'P12', 'M2', 'A4', 'M6', 'M3', 'P5', 'm3']	[0, 2, 5, 8]	[9, 0, 3, 5]
3	2.0	0.5	0.5	['B-3', 'D4', 'F4', 'B-4']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[10, 2, 5]
3	2.5	0.25	0.5				
4	1.0	1.0	0.5	['B-3', 'F4', 'B-4', 'D5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[10, 2, 5]
4	1.5	0.25	0.25	['C5']	[]	[0]	[0]
4	1.75	0.125	0.25	['A4']	[]	[0]	[9]
4	2.0	0.5	0.5	['B-3', 'F4', 'B-4', 'D5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[10, 2, 5]
4	2.5	0.25	0.5	['F4']	[]	[0]	[5]
5	1.0	1.0	0.5	['A3', 'F4', 'C5', 'E-5']	['m6', 'm10', 'd12', 'P5', 'm7', 'm3']	[0, 2, 5, 8]	[9, 0, 3, 5]
5	1.5	0.25	0.5	['B-3', 'F4', 'B-4', 'D5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[10, 2, 5]
5	2.0	0.5	0.75	['F3', 'F4', 'A4', 'C5']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[5, 9, 0]
5	2.75	0.125	0.25	['F3', 'F4', 'A4', 'C5']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[5, 9, 0]
6	1.0	1.0	0.5	['D3', 'B-3', 'D4', 'F4', 'B-4', 'F5']	['m6', 'P8', 'm10', 'm13', 'm17', 'M3', 'P5', 'P12', 'm3', 'P4']	[0, 3, 7]	[10, 2, 5]
6	1.5	0.25	0.25	['E-5']	[]	[0]	[3]
6	1.75	0.125	0.25	['D5']	[]	[0]	[2]
6	2.0	0.5	0.5	['F3', 'B-3', 'D4', 'F4', 'B-4', 'D5']	['P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[10, 2, 5]
6	2.5	0.25	0.25	['C5']	[]	[0]	[0]
6	2.75	0.125	0.25	['A4']	[]	[0]	[9]
7	1.0	1.0	0.5	['G3', 'G4', 'B-4']	['P8', 'm10', 'm3']	[0, 3]	[7, 10]
7	1.5	0.25	0.5	['E-3', 'G3', 'G4', 'C5']	['M3', 'M10', 'M13', 'P8', 'P11', 'P4']	[0, 3, 7]	[0, 3, 7]
7	2.0	0.5	0.5	['D3', 'A3', 'F#4', 'D5']	['P5', 'M10', 'P15', 'M6', 'P11', 'm6']	[0, 3, 7]	[2, 6, 9]
7	2.5	0.25	0.5	['D5']	[]	[0]	[2]
8	1.0	1.0	0.75	['E-3', 'F3', 'A3', 'F4', 'C5']	['M2', 'A4', 'M9', 'M13', 'M3', 'P8', 'P12', 'm6', 'm10', 'P5']	[0, 2, 5, 8]	[9, 0, 3, 5]
8	1.75	0.125	0.25	['E-3', 'F3', 'A3', 'F4', 'C5']	['M2', 'A4', 'M9', 'M13', 'M3', 'P8', 'P12', 'm6', 'm10', 'P5']	[0, 2, 5, 8]	[9, 0, 3, 5]
8	2.0	0.5	0.25	['E-3', 'F3', 'A3', 'F4', 'D5']	['M2', 'A4', 'M9', 'M14', 'M3', 'P8', 'M13', 'm6', 'P11', 'M6']	[0, 1, 3, 7]	[2, 3, 5, 9]
8	2.25	0.125	0.25	['E-3', 'F3', 'A3', 'F4', 'C5']	['M2', 'A4', 'M9', 'M13', 'M3', 'P8', 'P12', 'm6', 'm10', 'P5']	[0, 2, 5, 8]	[9, 0, 3, 5]
8	2.5	0.25	0.25	['E-3', 'F3', 'B-3', 'F4', 'B-4']	['M2', 'P5', 'M9', 'P12', 'P4', 'P8', 'P11']	[0, 2, 7]	[3, 5, 10]
8	2.75	0.125	0.25	['E-3', 'F3', 'C4', 'F4', 'A4']	['M2', 'M6', 'M9', 'A11', 'P5', 'P8', 'M10', 'P4', 'M3']	[0, 2, 5, 8]	[9, 0, 3, 5]
9	1.0	1.0	0.25	['D3', 'F3', 'B-3', 'F4', 'B-4']	['m3', 'm6', 'm10', 'm13', 'P4', 'P8', 'P11', 'P5']	[0, 3, 7]	[10, 2, 5]
9	1.25	0.125	0.125	['D3', 'F3', 'B-3', 'F4', 'B-4', 'D5']	['m3', 'm6', 'm10', 'm13', 'P15', 'P4', 'P8', 'P11', 'M13', 'P5', 'M10', 'M6', 'M3']	[0, 3, 7]	[10, 2, 5]
9	1.375	0.0625	0.125	['D3', 'F3', 'B-3', 'F4', 'D5']	['m3', 'm6', 'm10', 'P15', 'P4', 'P8', 'M13', 'P5', 'M10', 'M6']	[0, 3, 7]	[10, 2, 5]
9	1.5	0.25	1.0	['D3', 'F3', 'B-3', 'F4', 'F5']	['m3', 'm6', 'm10', 'm17', 'P4', 'P8', 'P15', 'P5', 'P12']	[0, 3, 7]	[10, 2, 5]
9	2.5	0.25	0.5	['D3', 'B-3', 'F4', 'F5']	['m6', 'm10', 'm17', 'P5', 'P12', 'P8']	[0, 3, 7]	[10, 2, 5]
10	1.0	1.0	0.5	['E-3', 'B-3', 'G4', 'F5']	['P5', 'M10', 'M16', 'M6', 'P12', 'm7']	[0, 2, 4, 7]	[3, 5, 7, 10]
10	1.5	0.25	0.25	['E-3', 'C4', 'G4']	['M6', 'M10', 'P5']	[0, 3, 7]	[0, 3, 7]
10	1.75	0.125	0.25	['E-3', 'C4', 'G4']	['M6', 'M10', 'P5']	[0, 3, 7]	[0, 3, 7]
