1	1.0	1.0	1/6	['F#3']	[]	[0]	[6]
1	7/6	0.0625	1/6	['C#4', 'A#4', 'C#5', 'A#5']	['M6', 'P8', 'M13', 'm3']	[0, 3]	[10, 1]
1	4/3	0.0625	1/6	['C#4', 'A#4', 'C#5', 'A#5']	['M6', 'P8', 'M13', 'm3']	[0, 3]	[10, 1]
1	1.5	0.25	1/6	['C#4', 'A#4', 'C#5', 'A#5']	['M6', 'P8', 'M13', 'm3']	[0, 3]	[10, 1]
1	5/3	0.0625	1/6	['C#4', 'G#4', 'A#4', 'C#5', 'G#5']	['P5', 'M6', 'P8', 'P12', 'M2', 'P4', 'm3', 'm7']	[0, 2, 5]	[8, 10, 1]
1	11/6	0.0625	1/6	['C#4', 'G#4', 'A#4', 'C#5', 'G#5']	['P5', 'M6', 'P8', 'P12', 'M2', 'P4', 'm3', 'm7']	[0, 2, 5]	[8, 10, 1]
1	2.0	0.5	1/6	['C#4', 'G#4', 'A#4', 'C#5', 'G#5']	['P5', 'M6', 'P8', 'P12', 'M2', 'P4', 'm3', 'm7']	[0, 2, 5]	[8, 10, 1]
1	13/6	0.0625	1/6	['C#4', 'F#4', 'A#4', 'C#5', 'F#5']	['P4', 'M6', 'P8', 'P11', 'M3', 'P5', 'm3', 'm6']	[0, 3, 7]	[6, 10, 1]
1	7/3	0.0625	1/6	['C#4', 'F#4', 'A#4', 'C#5', 'F#5']	['P4', 'M6', 'P8', 'P11', 'M3', 'P5', 'm3', 'm6']	[0, 3, 7]	[6, 10, 1]
1	2.5	0.25	1/6	['C#4', 'F#4', 'A#4', 'C#5', 'F#5']	['P4', 'M6', 'P8', 'P11', 'M3', 'P5', 'm3', 'm6']	[0, 3, 7]	[6, 10, 1]
1	8/3	0.0625	1/12	['C#4', 'E4', 'F#4', 'A#4', 'C#5', 'E5']	['m3', 'P4', 'M6', 'P8', 'm10', 'M2', 'A4', 'M3', 'P5', 'm7', 'd5']	[0, 2, 5, 8]	[10, 1, 4, 6]
1	2.75	0.125	1/12	['C#4', 'E4', 'A#4', 'C#5', 'E5']	['m3', 'M6', 'P8', 'm10', 'A4', 'd5']	[0, 3, 6]	[10, 1, 4]
1	17/6	0.0625	1/6	['C#4', 'E4', 'A#4', 'C#5', 'E5']	['m3', 'M6', 'P8', 'm10', 'A4', 'd5']	[0, 3, 6]	[10, 1, 4]
2	1.0	1.0	1/6	['F##3', 'D#4']	['m6']	[0, 4]	[3, 7]
2	7/6	0.0625	1/6	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	4/3	0.0625	1/6	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	1.5	0.25	1/6	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	5/3	0.0625	1/12	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	1.75	0.125	1/12	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	11/6	0.0625	1/6	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	2.0	0.5	1/6	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	13/6	0.0625	1/12	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	2.25	0.125	1/12	['C#4', 'D#4', 'F##4', 'A#4', 'C#5', 'D#5']	['M2', 'A4', 'M6', 'P8', 'M9', 'M3', 'P5', 'm7', 'm3', 'd5', 'm6', 'P4']	[0, 2, 5, 8]	[7, 10, 1, 3]
2	7/3	0.0625	1/6	['C#4', 'D#4', 'F##4', 'A#4', 'C#5', 'D#5']	['M2', 'A4', 'M6', 'P8', 'M9', 'M3', 'P5', 'm7', 'm3', 'd5', 'm6', 'P4']	[0, 2, 5, 8]	[7, 10, 1, 3]
2	2.5	0.25	1/6	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	8/3	0.0625	1/12	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	2.75	0.125	1/12	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
2	17/6	0.0625	1/6	['C#4', 'D#4', 'A#4', 'C#5', 'D#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[10, 1, 3]
3	1.0	1.0	1/6	['G#3', 'C#5']	['P11']	[0, 5]	[8, 1]
3	7/6	0.0625	1/6	['D#4', 'B4', 'C#5', 'D#5', 'B5']	['m6', 'm7', 'P8', 'm13', 'M2', 'M3']	[0, 2, 4]	[11, 1, 3]
3	4/3	0.0625	1/6	['D#4', 'B4', 'C#5', 'D#5', 'B5']	['m6', 'm7', 'P8', 'm13', 'M2', 'M3']	[0, 2, 4]	[11, 1, 3]
3	1.5	0.25	1/6	['D#4', 'B4', 'D#5', 'B5']	['m6', 'P8', 'm13', 'M3']	[0, 4]	[11, 3]
3	5/3	0.0625	1/6	['D#4', 'A#4', 'B4', 'D#5', 'A#5']	['P5', 'm6', 'P8', 'P12', 'm2', 'P4', 'M3', 'M7']	[0, 1, 5]	[10, 11, 3]
3	11/6	0.0625	1/6	['D#4', 'A#4', 'B4', 'D#5', 'A#5']	['P5', 'm6', 'P8', 'P12', 'm2', 'P4', 'M3', 'M7']	[0, 1, 5]	[10, 11, 3]
3	2.0	0.5	1/6	['D#4', 'A#4', 'B4', 'D#5', 'A#5']	['P5', 'm6', 'P8', 'P12', 'm2', 'P4', 'M3', 'M7']	[0, 1, 5]	[10, 11, 3]
3	13/6	0.0625	1/6	['D#4', 'G#4', 'B4', 'D#5', 'G#5']	['P4', 'm6', 'P8', 'P11', 'm3', 'P5', 'M3', 'M6']	[0, 3, 7]	[8, 11, 3]
3	7/3	0.0625	1/6	['D#4', 'G#4', 'B4', 'D#5', 'G#5']	['P4', 'm6', 'P8', 'P11', 'm3', 'P5', 'M3', 'M6']	[0, 3, 7]	[8, 11, 3]
3	2.5	0.25	1/6	['D#4', 'G#4', 'B4', 'D#5', 'G#5']	['P4', 'm6', 'P8', 'P11', 'm3', 'P5', 'M3', 'M6']	[0, 3, 7]	[8, 11, 3]
3	8/3	0.0625	1/6	['D#4', 'F#4', 'B4', 'D#5', 'F#5']	['m3', 'm6', 'P8', 'm10', 'P4', 'M6', 'M3', 'P5']	[0, 3, 7]	[11, 3, 6]
3	17/6	0.0625	1/6	['D#4', 'F#4', 'B4', 'D#5', 'F#5']	['m3', 'm6', 'P8', 'm10', 'P4', 'M6', 'M3', 'P5']	[0, 3, 7]	[11, 3, 6]
4	1.0	1.0	1/6	['G##3', 'E#4']	['m6']	[0, 4]	[5, 9]
4	7/6	0.0625	1/6	['D#4', 'E#4', 'B#4', 'D#5', 'E#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[0, 3, 5]
4	4/3	0.0625	1/6	['D#4', 'E#4', 'B#4', 'D#5', 'E#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[0, 3, 5]
4	1.5	0.25	1/6	['D#4', 'E#4', 'B#4', 'D#5', 'E#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[0, 3, 5]
4	5/3	0.0625	1/12	['D#4', 'E#4', 'B#4', 'D#5', 'E#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[0, 3, 5]
4	1.75	0.125	1/12	['D#4', 'E#4', 'B#4', 'D#5', 'E#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[0, 3, 5]
4	11/6	0.0625	1/6	['D#4', 'E#4', 'B#4', 'D#5', 'E#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[0, 3, 5]
4	2.0	0.5	1/6	['D#4', 'E#4', 'B#4', 'D#5', 'E#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[0, 3, 5]
4	13/6	0.0625	1/12	['D#4', 'E#4', 'B#4', 'D#5', 'E#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[0, 3, 5]
4	2.25	0.125	1/12	['D#4', 'E#4', 'G##4', 'B#4', 'D#5', 'E#5']	['M2', 'A4', 'M6', 'P8', 'M9', 'M3', 'P5', 'm7', 'm3', 'd5', 'm6', 'P4']	[0, 2, 5, 8]	[9, 0, 3, 5]
4	7/3	0.0625	1/6	['D#4', 'E#4', 'G##4', 'B#4', 'D#5', 'E#5']	['M2', 'A4', 'M6', 'P8', 'M9', 'M3', 'P5', 'm7', 'm3', 'd5', 'm6', 'P4']	[0, 2, 5, 8]	[9, 0, 3, 5]
4	2.5	0.25	1/6	['D#4', 'E#4', 'B#4', 'D#5', 'E#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[0, 3, 5]
4	8/3	0.0625	1/12	['D#4', 'E#4', 'B#4', 'D#5', 'E#5']	['M2', 'M6', 'P8', 'M9', 'P5', 'm7', 'm3', 'P4']	[0, 2, 5]	[0, 3, 5]
