4	4.0	0.25	0.25	['B3', 'D#4', 'F#4', 'A#4', 'B4', 'D#5']	['M3', 'P5', 'M7', 'P8', 'M10', 'm3', 'm6', 'P4', 'M6', 'm2']	[0, 1, 5, 8]	[10, 11, 3, 6]
4	4.25	0.0625	0.25	['B3', 'D#4', 'F#4', 'A#4', 'B4', 'D#5']	['M3', 'P5', 'M7', 'P8', 'M10', 'm3', 'm6', 'P4', 'M6', 'm2']	[0, 1, 5, 8]	[10, 11, 3, 6]
4	4.5	0.125	0.16666666666666666	['B3', 'D#4', 'F#4', 'A#4', 'B4', 'D#5']	['M3', 'P5', 'M7', 'P8', 'M10', 'm3', 'm6', 'P4', 'M6', 'm2']	[0, 1, 5, 8]	[10, 11, 3, 6]
4	467/100	0.0625	0.08333333333333333	['B3', 'D#4', 'F#4', 'A#4', 'B4', 'C#5']	['M3', 'P5', 'M7', 'P8', 'M9', 'm3', 'm6', 'm7', 'P4', 'm2', 'M2']	[0, 1, 3, 5, 8]	[10, 11, 1, 3, 6]
4	4.75	0.0625	0.08333333333333333	['B3', 'D#4', 'F#4', 'A#4', 'B4', 'C#5']	['M3', 'P5', 'M7', 'P8', 'M9', 'm3', 'm6', 'm7', 'P4', 'm2', 'M2']	[0, 1, 3, 5, 8]	[10, 11, 1, 3, 6]
4	483/100	0.0625	0.16666666666666666	['B3', 'D#4', 'F#4', 'A#4', 'B4']	['M3', 'P5', 'M7', 'P8', 'm3', 'm6', 'P4', 'm2']	[0, 1, 5, 8]	[10, 11, 3, 6]
5	1.0	1.0	0.5	['C#3', 'G#3', 'C#4', 'E#4', 'G#4']	['P5', 'P8', 'M10', 'P12', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[1, 5, 8]
5	1.5	0.25	0.25	['G#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'P8', 'm10', 'P12', 'P15', 'P4', 'm6', 'P11', 'm3', 'M3', 'M6']	[0, 3, 7]	[8, 11, 3]
5	1.75	0.125	0.25	['G#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'P8', 'm10', 'P12', 'P15', 'P4', 'm6', 'P11', 'm3', 'M3', 'M6']	[0, 3, 7]	[8, 11, 3]
5	2.0	0.5	0.25	['G#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'P8', 'm10', 'P12', 'P15', 'P4', 'm6', 'P11', 'm3', 'M3', 'M6']	[0, 3, 7]	[8, 11, 3]
5	2.25	0.125	0.25	['G#2', 'D#3', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'P8', 'm10', 'P12', 'P15', 'P4', 'm6', 'P11', 'm3', 'M3', 'M6']	[0, 3, 7]	[8, 11, 3]
5	2.5	0.25	0.16666666666666666	['C#3', 'G#3', 'C#4', 'E#4', 'G#4']	['P5', 'P8', 'M10', 'P12', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[1, 5, 8]
5	267/100	0.0625	0.16666666666666666	['C#3', 'G#3', 'C#4', 'E#4', 'G#4']	['P5', 'P8', 'M10', 'P12', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[1, 5, 8]
5	283/100	0.0625	0.16666666666666666	['C#3', 'G#3', 'C#4', 'E#4', 'G#4']	['P5', 'P8', 'M10', 'P12', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[1, 5, 8]
5	3.0	0.5	0.5	['B2', 'F#3', 'B3', 'D#4', 'F#4', 'B4']	['P5', 'P8', 'M10', 'P12', 'P15', 'P4', 'M6', 'P11', 'M3', 'm3', 'm6']	[0, 3, 7]	[11, 3, 6]
5	3.5	0.25	0.16666666666666666	['B2', 'F#3', 'B3', 'D#4', 'F#4', 'B4']	['P5', 'P8', 'M10', 'P12', 'P15', 'P4', 'M6', 'P11', 'M3', 'm3', 'm6']	[0, 3, 7]	[11, 3, 6]
5	367/100	0.0625	0.16666666666666666	['B2', 'F#3', 'B3', 'D#4', 'F#4', 'A#4', 'B4']	['P5', 'P8', 'M10', 'P12', 'M14', 'P15', 'P4', 'M6', 'P11', 'M3', 'M7', 'm3', 'm6', 'm2']	[0, 1, 5, 8]	[10, 11, 3, 6]
5	383/100	0.0625	0.16666666666666666	['B2', 'F#3', 'B3', 'D#4', 'F#4', 'G#4', 'B4']	['P5', 'P8', 'M10', 'P12', 'M13', 'P15', 'P4', 'M6', 'M9', 'P11', 'M3', 'm3', 'm6', 'M2']	[0, 3, 5, 8]	[3, 6, 8, 11]
6	1.0	1.0	0.25	['C#2', 'G#2', 'E#3', 'C#4', 'E#4', 'G#4', 'C#5']	['P5', 'M10', 'P15', 'M17', 'P19', 'P22', 'M6', 'P11', 'M13', 'P18', 'm6', 'P8', 'm10', 'm13', 'M3', 'm3', 'P4']	[0, 3, 7]	[1, 5, 8]
6	1.25	0.0625	0.25	['C#2', 'G#2', 'E#3', 'C#4', 'E#4', 'G#4', 'C#5']	['P5', 'M10', 'P15', 'M17', 'P19', 'P22', 'M6', 'P11', 'M13', 'P18', 'm6', 'P8', 'm10', 'm13', 'M3', 'm3', 'P4']	[0, 3, 7]	[1, 5, 8]
6	1.5	0.125	0.16666666666666666	['E2', 'B2', 'G#3', 'B3', 'E4', 'G#4', 'B4']	['P5', 'M10', 'P12', 'P15', 'M17', 'P19', 'M6', 'P8', 'P11', 'M13', 'm3', 'm6', 'm10', 'P4', 'M3']	[0, 3, 7]	[4, 8, 11]
6	167/100	0.0625	0.16666666666666666	['E2', 'B2', 'G#3', 'B3', 'E4', 'G#4', 'A#4', 'B4']	['P5', 'M10', 'P12', 'P15', 'M17', 'A18', 'P19', 'M6', 'P8', 'P11', 'M13', 'M14', 'm3', 'm6', 'M9', 'm10', 'P4', 'M7', 'M3', 'A4', 'M2', 'm2']	[0, 1, 3, 7]	[4, 8, 10, 11]
6	183/100	0.0625	0.16666666666666666	['E2', 'B2', 'G#3', 'B3', 'E4', 'G#4', 'B4']	['P5', 'M10', 'P12', 'P15', 'M17', 'P19', 'M6', 'P8', 'P11', 'M13', 'm3', 'm6', 'm10', 'P4', 'M3']	[0, 3, 7]	[4, 8, 11]
6	2.0	0.25	0.25	['C#2', 'G#2', 'E#3', 'C#4', 'E#4', 'G#4', 'C#5']	['P5', 'M10', 'P15', 'M17', 'P19', 'P22', 'M6', 'P11', 'M13', 'P18', 'm6', 'P8', 'm10', 'm13', 'M3', 'm3', 'P4']	[0, 3, 7]	[1, 5, 8]
6	2.25	0.0625	0.25	['C#2', 'G#2', 'E#3', 'C#4', 'E#4', 'G#4', 'C#5']	['P5', 'M10', 'P15', 'M17', 'P19', 'P22', 'M6', 'P11', 'M13', 'P18', 'm6', 'P8', 'm10', 'm13', 'M3', 'm3', 'P4']	[0, 3, 7]	[1, 5, 8]
6	2.5	0.125	0.16666666666666666	['E2', 'B2', 'G#3', 'B3', 'E4', 'G#4', 'B4']	['P5', 'M10', 'P12', 'P15', 'M17', 'P19', 'M6', 'P8', 'P11', 'M13', 'm3', 'm6', 'm10', 'P4', 'M3']	[0, 3, 7]	[4, 8, 11]
6	267/100	0.0625	0.16666666666666666	['E2', 'B2', 'G#3', 'B3', 'E4', 'G#4', 'A#4', 'B4']	['P5', 'M10', 'P12', 'P15', 'M17', 'A18', 'P19', 'M6', 'P8', 'P11', 'M13', 'M14', 'm3', 'm6', 'M9', 'm10', 'P4', 'M7', 'M3', 'A4', 'M2', 'm2']	[0, 1, 3, 7]	[4, 8, 10, 11]
6	283/100	0.0625	0.16666666666666666	['E2', 'B2', 'G#3', 'B3', 'E4', 'G#4', 'B4']	['P5', 'M10', 'P12', 'P15', 'M17', 'P19', 'M6', 'P8', 'P11', 'M13', 'm3', 'm6', 'm10', 'P4', 'M3']	[0, 3, 7]	[4, 8, 11]
6	3.0	0.5	0.16666666666666666	['C#2', 'G#2', 'E#3', 'C#4', 'E#4', 'G#4', 'C#5']	['P5', 'M10', 'P15', 'M17', 'P19', 'P22', 'M6', 'P11', 'M13', 'P18', 'm6', 'P8', 'm10', 'm13', 'M3', 'm3', 'P4']	[0, 3, 7]	[1, 5, 8]
