1	3.0	0.5	1/3	['C3', 'G3', 'C4', 'G4']	['P5', 'P8', 'P12', 'P4']	[0, 5]	[7, 0]
1	10/3	0.0625	1/3	['B-2', 'G3', 'C4', 'G4']	['M6', 'M9', 'M13', 'P4', 'P8', 'P5']	[0, 2, 5]	[7, 10, 0]
1	11/3	0.0625	1/3	['C3', 'G3', 'C4', 'G4']	['P5', 'P8', 'P12', 'P4']	[0, 5]	[7, 0]
1	4.0	0.25	1/3	['A2', 'F3', 'C4', 'F4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[5, 9, 0]
1	13/3	0.0625	1/3	['C3', 'F3', 'C4', 'F4']	['P4', 'P8', 'P11', 'P5']	[0, 5]	[0, 5]
1	14/3	0.0625	1/12	['G#2', 'F3', 'C4', 'F4']	['d7', 'd11', 'd14', 'P5', 'P8', 'P4']	[0, 3, 7]	[5, 8, 0]
1	4.75	0.0625	0.25	['G#2', 'E3', 'C4', 'E4']	['m6', 'd11', 'm13', 'P8', 'M3']	[0, 4, 8]	[0, 4, 8]
2	1.0	1.0	1/3	['C3', 'E3', 'C4', 'E4']	['M3', 'P8', 'M10', 'm6']	[0, 4]	[0, 4]
2	4/3	0.0625	1/3	['G#2', 'E3', 'C4', 'E4']	['m6', 'd11', 'm13', 'P8', 'M3']	[0, 4, 8]	[0, 4, 8]
2	5/3	0.0625	1/3	['C3', 'E3', 'C4', 'E4']	['M3', 'P8', 'M10', 'm6']	[0, 4]	[0, 4]
2	2.0	0.25	1/3	['A2', 'F3', 'C4', 'F4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[5, 9, 0]
2	7/3	0.0625	1/3	['C3', 'F3', 'C4', 'F4']	['P4', 'P8', 'P11', 'P5']	[0, 5]	[0, 5]
2	8/3	0.0625	1/3	['A2', 'F3', 'C4', 'F4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[5, 9, 0]
2	3.0	0.5	1/3	['C3', 'A3', 'C4', 'F4', 'A4']	['M6', 'P8', 'P11', 'M13', 'm3', 'm6', 'P4', 'M3']	[0, 3, 7]	[5, 9, 0]
2	10/3	0.0625	1/3	['F2', 'A3', 'C4', 'F4', 'A4']	['M10', 'P12', 'P15', 'M17', 'm3', 'm6', 'P8', 'P4', 'M6', 'M3']	[0, 3, 7]	[5, 9, 0]
2	11/3	0.0625	1/3	['C3', 'A3', 'C4', 'F4', 'A4']	['M6', 'P8', 'P11', 'M13', 'm3', 'm6', 'P4', 'M3']	[0, 3, 7]	[5, 9, 0]
2	4.0	0.25	1/3	['F2', 'D4', 'F4', 'A-4', 'B4']	['M13', 'P15', 'm17', 'A18', 'm3', 'd5', 'M6', 'A4', 'A2']	[0, 3, 6, 9]	[2, 5, 8, 11]
2	13/3	0.0625	1/3	['C3', 'D4', 'F4', 'A-4', 'B4']	['M9', 'P11', 'm13', 'M14', 'm3', 'd5', 'M6', 'A4', 'A2']	[0, 1, 3, 6, 9]	[11, 0, 2, 5, 8]
2	14/3	0.0625	1/3	['F2', 'D4', 'F4', 'A-4', 'B4']	['M13', 'P15', 'm17', 'A18', 'm3', 'd5', 'M6', 'A4', 'A2']	[0, 3, 6, 9]	[2, 5, 8, 11]
3	1.0	1.0	1/3	['C3', 'C4', 'E4', 'G4', 'C5']	['P8', 'M10', 'P12', 'P15', 'M3', 'P5', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
3	4/3	0.0625	1/3	['C2', 'C4', 'E4', 'G4', 'C5']	['P15', 'M17', 'P19', 'P22', 'M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
3	5/3	0.0625	1/3	['C3', 'C4', 'E4', 'G4', 'C5']	['P8', 'M10', 'P12', 'P15', 'M3', 'P5', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
3	2.0	0.25	1/3	['C2', 'C4', 'E4', 'G4', 'C5']	['P15', 'M17', 'P19', 'P22', 'M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
3	7/3	0.0625	1/3	['C3', 'C4', 'E4', 'G4', 'C5']	['P8', 'M10', 'P12', 'P15', 'M3', 'P5', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
3	8/3	0.0625	1/3	['C2', 'C4', 'E4', 'G4', 'C5']	['P15', 'M17', 'P19', 'P22', 'M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
3	3.0	0.5	1/3	['C3', 'G3', 'C4', 'E4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
3	10/3	0.0625	1/3	['B-2', 'G3', 'C4', 'E4']	['M6', 'M9', 'A11', 'P4', 'M3']	[0, 2, 5, 8]	[4, 7, 10, 0]
3	11/3	0.0625	1/3	['C3', 'G3', 'C4', 'E4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
3	4.0	0.25	1/3	['A2', 'F3', 'C4', 'F4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[5, 9, 0]
3	13/3	0.0625	1/3	['C3', 'F3', 'C4', 'F4']	['P4', 'P8', 'P11', 'P5']	[0, 5]	[0, 5]
3	14/3	0.0625	1/12	['G#2', 'F3', 'C4', 'F4']	['d7', 'd11', 'd14', 'P5', 'P8', 'P4']	[0, 3, 7]	[5, 8, 0]
3	4.75	0.0625	0.25	['G#2', 'E3', 'C4', 'E4']	['m6', 'd11', 'm13', 'P8', 'M3']	[0, 4, 8]	[0, 4, 8]
4	1.0	1.0	1/3	['C3', 'E3', 'C4', 'E4']	['M3', 'P8', 'M10', 'm6']	[0, 4]	[0, 4]
4	4/3	0.0625	1/3	['G#2', 'E3', 'C4', 'E4']	['m6', 'd11', 'm13', 'P8', 'M3']	[0, 4, 8]	[0, 4, 8]
4	5/3	0.0625	1/3	['C3', 'E3', 'C4', 'E4']	['M3', 'P8', 'M10', 'm6']	[0, 4]	[0, 4]
4	2.0	0.25	1/3	['A2', 'F3', 'C4', 'F4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[5, 9, 0]
4	7/3	0.0625	1/3	['C3', 'F3', 'C4', 'F4']	['P4', 'P8', 'P11', 'P5']	[0, 5]	[0, 5]
4	8/3	0.0625	1/3	['A2', 'F3', 'C4', 'F4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[5, 9, 0]
4	3.0	0.5	1/3	['C3', 'A3', 'C4', 'F4', 'A4']	['M6', 'P8', 'P11', 'M13', 'm3', 'm6', 'P4', 'M3']	[0, 3, 7]	[5, 9, 0]
