0	3.5	0.25	0.5	['E3']	[]	[0]	[4]
7	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3', 'B4']	['m7', 'P8', 'M10', 'P12', 'P19', 'M2', 'A4', 'M6', 'M13', 'M3', 'P5', 'm3', 'm10']	[0, 2, 5, 8]	[8, 11, 2, 4]
7	2.0	0.5	1.0	['A2', 'C#3', 'E3', 'A3', 'A4']	['M3', 'P5', 'P8', 'P15', 'm3', 'm6', 'm13', 'P4', 'P11']	[0, 3, 7]	[9, 1, 4]
7	3.0	0.5	0.3333333333333333	['A2', 'C#3', 'E3', 'A3', 'A4']	['M3', 'P5', 'P8', 'P15', 'm3', 'm6', 'm13', 'P4', 'P11']	[0, 3, 7]	[9, 1, 4]
7	333/100	0.0625	0.16666666666666666	['A2', 'C#3', 'E3', 'A3', 'B4']	['M3', 'P5', 'P8', 'M16', 'm3', 'm6', 'm14', 'P4', 'P12', 'M9']	[0, 2, 4, 7]	[9, 11, 1, 4]
7	3.5	0.25	0.16666666666666666	['A2', 'E3', 'A3', 'C#4', 'B4']	['P5', 'P8', 'M10', 'M16', 'P4', 'M6', 'P12', 'M3', 'M9', 'm7']	[0, 2, 4, 7]	[9, 11, 1, 4]
7	367/100	0.0625	0.3333333333333333	['A2', 'E3', 'A3', 'C#4', 'C#5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[9, 1, 4]
8	1.0	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4', 'C#5']	['m7', 'P8', 'M10', 'M13', 'M20', 'M2', 'A4', 'M7', 'M14', 'M3', 'M6', 'P4', 'P11']	[0, 1, 3, 7]	[1, 2, 4, 8]
8	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3', 'B4']	['m7', 'P8', 'M10', 'P12', 'P19', 'M2', 'A4', 'M6', 'M13', 'M3', 'P5', 'm3', 'm10']	[0, 2, 5, 8]	[8, 11, 2, 4]
8	2.0	0.5	1.0	['A2', 'C#3', 'E3', 'A3', 'A4']	['M3', 'P5', 'P8', 'P15', 'm3', 'm6', 'm13', 'P4', 'P11']	[0, 3, 7]	[9, 1, 4]
8	3.0	0.5	0.5	['A2', 'C#3', 'E3', 'A3']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[9, 1, 4]
