0	3.5	0.25	0.5	['E3']	[]	[0]	[4]
28	3.5	0.25	0.16666666666666666	['F#2', 'C#3', 'A3', 'C#4', 'B4']	['P5', 'm10', 'P12', 'P18', 'm6', 'P8', 'm14', 'M3', 'M9', 'm7']	[0, 2, 4, 7]	[6, 9, 11, 1]
28	367/100	0.0625	0.3333333333333333	['F#2', 'C#3', 'A3', 'C#4', 'C#5']	['P5', 'm10', 'P12', 'P19', 'm6', 'P8', 'P15', 'M3', 'M10']	[0, 3, 7]	[6, 9, 1]
29	1.0	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4', 'C#5']	['m7', 'P8', 'M10', 'M13', 'M20', 'M2', 'A4', 'M7', 'M14', 'M3', 'M6', 'P4', 'P11']	[0, 1, 3, 7]	[1, 2, 4, 8]
29	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3', 'B4']	['m7', 'P8', 'M10', 'P12', 'P19', 'M2', 'A4', 'M6', 'M13', 'M3', 'P5', 'm3', 'm10']	[0, 2, 5, 8]	[8, 11, 2, 4]
29	2.0	0.5	1.0	['A2', 'C#3', 'E3', 'A3', 'A4']	['M3', 'P5', 'P8', 'P15', 'm3', 'm6', 'm13', 'P4', 'P11']	[0, 3, 7]	[9, 1, 4]
29	3.0	0.5	0.5	['A2', 'C#3', 'E3', 'A3']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[9, 1, 4]
29	3.5	0.25	0.5	['F#2', 'C#3', 'A3', 'C#4']	['P5', 'm10', 'P12', 'm6', 'P8', 'M3']	[0, 3, 7]	[6, 9, 1]
30	1.0	1.0	0.75	['E#2', 'C#3', 'G#3', 'C#4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[1, 5, 8]
30	1.75	0.125	0.25	['E2', 'B2', 'G#3', 'D4']	['P5', 'M10', 'm14', 'M6', 'm10', 'd5']	[0, 2, 5, 8]	[8, 11, 2, 4]
30	2.0	0.5	1.5	['E2', 'B2', 'G#3', 'D4']	['P5', 'M10', 'm14', 'M6', 'm10', 'd5']	[0, 2, 5, 8]	[8, 11, 2, 4]
30	3.5	0.25	0.5	['A2', 'C#3', 'E3', 'A3', 'C#4']	['M3', 'P5', 'P8', 'M10', 'm3', 'm6', 'P4', 'M6']	[0, 3, 7]	[9, 1, 4]
31	1.0	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4']	['m7', 'P8', 'M10', 'M13', 'M2', 'A4', 'M7', 'M3', 'M6', 'P4']	[0, 1, 3, 7]	[1, 2, 4, 8]
31	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3']	['m7', 'P8', 'M10', 'P12', 'M2', 'A4', 'M6', 'M3', 'P5', 'm3']	[0, 2, 5, 8]	[8, 11, 2, 4]
31	2.0	0.5	1.5	['A2', 'C#3', 'E3', 'A3']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[9, 1, 4]
31	3.5	0.25	0.5	['A2', 'E3', 'A3', 'C#4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[9, 1, 4]
32	1.0	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4']	['m7', 'P8', 'M10', 'M13', 'M2', 'A4', 'M7', 'M3', 'M6', 'P4']	[0, 1, 3, 7]	[1, 2, 4, 8]
32	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3']	['m7', 'P8', 'M10', 'P12', 'M2', 'A4', 'M6', 'M3', 'P5', 'm3']	[0, 2, 5, 8]	[8, 11, 2, 4]
32	2.0	0.5	1.0	['A2', 'C#3', 'E3', 'A3']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[9, 1, 4]
32	3.0	0.5	1.0				
