16	4/3	0.25	0.5	['A3', 'C4', 'G-4', 'E-5']	['m3', 'd7', 'd12', 'd5', 'm10', 'M6']	[0, 3, 6, 9]	[0, 3, 6, 9]
16	5/3	0.25	0.5	['B-3', 'D-4', 'F4', 'D-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[10, 1, 5]
16	2.0	0.5	0.5	['C4', 'E-4', 'F4', 'A4']	['m3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[9, 0, 3, 5]
16	7/3	0.25	0.5	['C4', 'E-4', 'F4', 'A4']	['m3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[9, 0, 3, 5]
16	8/3	0.25	0.5	['D-4', 'F4', 'B-4']	['M3', 'M6', 'P4']	[0, 3, 7]	[10, 1, 5]
17	1.0	1.0	0.5	['E-2', 'D-5']	['m21']	[0, 2]	[1, 3]
17	4/3	0.25	0.5	['G3', 'B-3', 'F4', 'D-5']	['m3', 'm7', 'd12', 'P5', 'm10', 'm6']	[0, 2, 5, 8]	[5, 7, 10, 1]
17	5/3	0.25	0.5	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[8, 0, 3]
17	2.0	0.5	0.5	['B-3', 'D-4', 'E-4', 'G4']	['m3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[7, 10, 1, 3]
17	7/3	0.25	0.5	['B-3', 'D-4', 'E-4', 'G4']	['m3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[7, 10, 1, 3]
17	8/3	0.25	0.5	['C4', 'E-4', 'A-4']	['m3', 'm6', 'P4']	[0, 3, 7]	[8, 0, 3]
18	1.0	1.0	0.5	['A-1', 'A-4']	['P22']	[0]	[8]
18	4/3	0.25	0.5	['A-2', 'A-4']	['P15']	[0]	[8]
18	5/3	0.25	0.5	['E-3', 'C4', 'A-4']	['M6', 'P11', 'm6']	[0, 3, 7]	[8, 0, 3]
18	2.0	0.5	0.5	['G-3', 'A-3', 'E-4', 'A-4']	['M2', 'M6', 'M9', 'P5', 'P8', 'P4']	[0, 2, 5]	[3, 6, 8]
18	7/3	0.25	0.5	['G-3', 'A-3', 'E-4', 'A-4']	['M2', 'M6', 'M9', 'P5', 'P8', 'P4']	[0, 2, 5]	[3, 6, 8]
18	8/3	0.25	0.5	['F3', 'A-3', 'D-4', 'A-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[1, 5, 8]
19	1.0	1.0	0.5	['A-2']	[]	[0]	[8]
19	4/3	0.25	0.5	['A-2', 'E-3']	['P5']	[0, 5]	[3, 8]
19	5/3	0.25	0.5	['A-2', 'C4', 'A-4']	['M10', 'P15', 'm6']	[0, 4]	[8, 0]
19	2.0	0.5	0.5	['B-3', 'D-4', 'G-4', 'A-4']	['m3', 'm6', 'm7', 'P4', 'P5', 'M2']	[0, 2, 4, 7]	[6, 8, 10, 1]
