9	2.5	0.25	1.0	['G3', 'B3', 'F4', 'G5']	['M3', 'm7', 'P15', 'd5', 'm13', 'M9']	[0, 2, 6]	[5, 7, 11]
10	1.0	1.0	2.0	['G1', 'G2', 'F5', 'B5']	['P8', 'm28', 'M31', 'm21', 'M24', 'A4']	[0, 2, 6]	[5, 7, 11]
10	2.0	0.5	1.0	['G1', 'G2', 'G3', 'B3', 'F4', 'G4', 'F5', 'A5', 'D6']	['P8', 'P15', 'M17', 'm21', 'P22', 'm28', 'M30', 'P33', 'M10', 'm14', 'M23', 'P26', 'M3', 'm7', 'M16', 'P19', 'd5', 'm6', 'd12', 'm17', 'M2', 'M13', 'M9', 'P12', 'M6', 'P4']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
10	2.5	0.25	1.0	['G3', 'B3', 'F4', 'G5']	['M3', 'm7', 'P15', 'd5', 'm13', 'M9']	[0, 2, 6]	[5, 7, 11]
11	1.0	1.0	2.0	['G1', 'G2', 'F5', 'B5']	['P8', 'm28', 'M31', 'm21', 'M24', 'A4']	[0, 2, 6]	[5, 7, 11]
11	2.0	0.5	1.0	['G1', 'G2', 'G3', 'B3', 'F4', 'G4', 'F5', 'A5', 'D6']	['P8', 'P15', 'M17', 'm21', 'P22', 'm28', 'M30', 'P33', 'M10', 'm14', 'M23', 'P26', 'M3', 'm7', 'M16', 'P19', 'd5', 'm6', 'd12', 'm17', 'M2', 'M13', 'M9', 'P12', 'M6', 'P4']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
11	2.5	0.25	1.0	['G3', 'B3', 'F4', 'G5']	['M3', 'm7', 'P15', 'd5', 'm13', 'M9']	[0, 2, 6]	[5, 7, 11]
12	1.0	1.0	2.0	['C2', 'G2', 'E5', 'B5']	['P5', 'M24', 'M28', 'M20']	[0, 1, 5, 8]	[11, 0, 4, 7]
12	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'E5']	['P5', 'P12', 'P15', 'M17', 'P19', 'M24', 'P8', 'P11', 'M13', 'M20', 'P4', 'M6', 'M3', 'M10', 'm3']	[0, 3, 7]	[0, 4, 7]
12	2.5	0.25	1.0	['G3', 'C4', 'E4', 'E5']	['P4', 'M6', 'M13', 'M3', 'M10', 'P8']	[0, 3, 7]	[0, 4, 7]
13	1.0	1.0	2.0	['C2', 'G2', 'B-4', 'B-5']	['P5', 'm21', 'm28', 'm17', 'm24', 'P8']	[0, 2, 5]	[7, 10, 0]
13	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'B-5']	['P5', 'P12', 'P15', 'M17', 'P19', 'm28', 'P8', 'P11', 'M13', 'm24', 'P4', 'M6', 'm17', 'M3', 'm14', 'm3', 'd12', 'm10']	[0, 2, 5, 8]	[4, 7, 10, 0]
13	2.5	0.25	1.0	['G3', 'C4', 'E4', 'B-5']	['P4', 'M6', 'm17', 'M3', 'm14', 'd12']	[0, 2, 5, 8]	[4, 7, 10, 0]
14	1.0	1.0	1.0	['C2', 'G2', 'E5']	['P5', 'M24', 'M20']	[0, 3, 7]	[0, 4, 7]
14	1.5	0.25	0.5	['C2', 'G2', 'D5']	['P5', 'M23', 'P19']	[0, 2, 7]	[0, 2, 7]
14	1.75	0.125	0.5	['C2', 'G2', 'E5']	['P5', 'M24', 'M20']	[0, 3, 7]	[0, 4, 7]
14	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'B-4']	['P5', 'P12', 'P15', 'M17', 'P19', 'm21', 'P8', 'P11', 'M13', 'm17', 'P4', 'M6', 'm10', 'M3', 'm7', 'm3', 'd5']	[0, 2, 5, 8]	[4, 7, 10, 0]
14	2.5	0.25	0.5	['G3', 'C4', 'E4', 'A4']	['P4', 'M6', 'M9', 'M3']	[0, 3, 5, 8]	[4, 7, 9, 0]
14	2.75	0.125	0.5	['G3', 'C4', 'E4', 'B-4']	['P4', 'M6', 'm10', 'M3', 'm7', 'd5']	[0, 2, 5, 8]	[4, 7, 10, 0]
15	1.0	1.0	1.0	['C2', 'G2', 'E4']	['P5', 'M17', 'M13']	[0, 3, 7]	[0, 4, 7]
15	1.5	0.25	0.5	['C2', 'G2', 'B-4']	['P5', 'm21', 'm17']	[0, 2, 5]	[7, 10, 0]
15	1.75	0.125	0.5	['C2', 'G2', 'C5']	['P5', 'P22', 'P18']	[0, 5]	[7, 0]
15	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'E5']	['P5', 'P12', 'P15', 'M17', 'P19', 'M24', 'P8', 'P11', 'M13', 'M20', 'P4', 'M6', 'M3', 'M10', 'm3']	[0, 3, 7]	[0, 4, 7]
15	2.5	0.25	1.0	['G3', 'C4', 'E4', 'B-4', 'B-5']	['P4', 'M6', 'm10', 'm17', 'M3', 'm7', 'm14', 'd5', 'd12', 'P8']	[0, 2, 5, 8]	[4, 7, 10, 0]
16	1.0	1.0	2.0	['A1', 'A2', 'A4', 'C#5', 'G5', 'A5']	['P8', 'P22', 'M24', 'm28', 'P29', 'P15', 'M17', 'm21', 'M3', 'm7', 'd5', 'm6', 'M2']	[0, 2, 6]	[7, 9, 1]
16	2.0	0.5	1.0	['A1', 'A2', 'A3', 'C#4', 'E4', 'G4', 'A4', 'A5']	['P8', 'P15', 'M17', 'P19', 'm21', 'P22', 'P29', 'M10', 'P12', 'm14', 'M3', 'P5', 'm7', 'm3', 'd5', 'm6', 'm13', 'P4', 'P11', 'M2', 'M9']	[0, 2, 5, 8]	[1, 4, 7, 9]
16	2.5	0.25	1.0	['A3', 'C#4', 'E4', 'A4', 'A5']	['M3', 'P5', 'P8', 'P15', 'm3', 'm6', 'm13', 'P4', 'P11']	[0, 3, 7]	[9, 1, 4]
17	1.0	1.0	2.0	['D2']	[]	[0]	[2]
17	2.0	0.5	1.0	['D2', 'D4', 'F#4', 'C5', 'E5', 'C6', 'A6']	['P15', 'M17', 'm21', 'M23', 'm28', 'P33', 'M3', 'm7', 'M9', 'm14', 'P19', 'd5', 'd12', 'm17', 'P8', 'M13', 'm6', 'P11', 'M6']	[0, 2, 4, 6, 9]	[0, 2, 4, 6, 9]
17	2.5	0.25	0.5	['D4', 'A4', 'F#5', 'E6']	['P5', 'M10', 'M16', 'M6', 'P12', 'm7']	[0, 2, 4, 7]	[2, 4, 6, 9]
17	2.75	0.125	0.5				
18	1.0	1.0	2.0	['G2']	[]	[0]	[7]
18	2.0	0.5	1.0	['G2', 'G3', 'C4', 'E4', 'G4', 'C5', 'G5', 'E6']	['P8', 'P11', 'M13', 'P15', 'P18', 'P22', 'M27', 'P4', 'M6', 'M20', 'M3', 'P5', 'P12', 'M17', 'm3', 'm6', 'm10', 'M10']	[0, 3, 7]	[0, 4, 7]
18	2.5	0.25	0.5	['G3', 'C4', 'E4', 'E5', 'C6']	['P4', 'M6', 'M13', 'P18', 'M3', 'M10', 'P15', 'P8', 'm13', 'm6']	[0, 3, 7]	[0, 4, 7]
18	2.75	0.125	0.5				
19	1.0	1.0	2.0	['G1']	[]	[0]	[7]
19	2.0	0.5	1.0	['G1', 'G3', 'D4', 'F4', 'A4', 'F5', 'B5']	['P15', 'P19', 'm21', 'M23', 'm28', 'M31', 'P5', 'm7', 'M9', 'm14', 'M17', 'm3', 'm10', 'M13', 'M3', 'P8', 'A11', 'm6', 'A4']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
19	2.5	0.25	0.5	['G3', 'D4', 'B4', 'F5']	['P5', 'M10', 'm14', 'M6', 'm10', 'd5']	[0, 2, 5, 8]	[11, 2, 5, 7]
19	2.75	0.125	0.5				
20	1.0	1.0	0.6666666666666666	['C2', 'G2', 'A4', 'C5', 'E5']	['P5', 'M20', 'P22', 'M24', 'M16', 'P18', 'm3', 'M3']	[0, 3, 5, 8]	[4, 7, 9, 0]
20	133/100	0.0625	0.6666666666666666	['C2', 'G2', 'G4', 'C5', 'E5']	['P5', 'P19', 'P22', 'M24', 'P15', 'P18', 'M20', 'P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
20	167/100	0.0625	0.6666666666666666	['C2', 'G2', 'A4', 'C5', 'E5']	['P5', 'M20', 'P22', 'M24', 'M16', 'P18', 'm3', 'M3']	[0, 3, 5, 8]	[4, 7, 9, 0]
20	2.0	0.5	0.6666666666666666	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'C5', 'E5']	['P5', 'P12', 'P15', 'M17', 'P19', 'P22', 'M24', 'P8', 'P11', 'M13', 'P18', 'M20', 'P4', 'M6', 'M3', 'M10', 'm3', 'm6']	[0, 3, 7]	[0, 4, 7]
20	233/100	0.0625	0.3333333333333333	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'A4', 'C5', 'E5']	['P5', 'P12', 'P15', 'M17', 'P19', 'M20', 'P22', 'M24', 'P8', 'P11', 'M13', 'M16', 'P18', 'P4', 'M6', 'M9', 'M3', 'M10', 'm3', 'm6', 'M2']	[0, 3, 5, 8]	[4, 7, 9, 0]
20	2.5	0.25	0.3333333333333333	['G3', 'C4', 'E4', 'A4', 'C5', 'E5']	['P4', 'M6', 'M9', 'P11', 'M13', 'M3', 'P8', 'M10', 'm6', 'm3', 'P5']	[0, 3, 5, 8]	[4, 7, 9, 0]
20	267/100	0.0625	0.6666666666666666	['G3', 'C4', 'E4', 'G4', 'C5', 'E5']	['P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[0, 4, 7]
21	1.0	1.0	2.0	['D2']	[]	[0]	[2]
21	2.0	0.5	1.0	['D2', 'D4', 'F#4', 'C5', 'E5', 'C6', 'A6']	['P15', 'M17', 'm21', 'M23', 'm28', 'P33', 'M3', 'm7', 'M9', 'm14', 'P19', 'd5', 'd12', 'm17', 'P8', 'M13', 'm6', 'P11', 'M6']	[0, 2, 4, 6, 9]	[0, 2, 4, 6, 9]
21	2.5	0.25	0.5	['D4', 'A4', 'F#5', 'E6']	['P5', 'M10', 'M16', 'M6', 'P12', 'm7']	[0, 2, 4, 7]	[2, 4, 6, 9]
21	2.75	0.125	0.5				
22	1.0	1.0	2.0	['G2']	[]	[0]	[7]
22	2.0	0.5	1.0	['G2', 'G3', 'C4', 'E4', 'G4', 'C5', 'G5', 'E6']	['P8', 'P11', 'M13', 'P15', 'P18', 'P22', 'M27', 'P4', 'M6', 'M20', 'M3', 'P5', 'P12', 'M17', 'm3', 'm6', 'm10', 'M10']	[0, 3, 7]	[0, 4, 7]
22	2.5	0.25	0.5	['G3', 'C4', 'E4', 'E5', 'C6']	['P4', 'M6', 'M13', 'P18', 'M3', 'M10', 'P15', 'P8', 'm13', 'm6']	[0, 3, 7]	[0, 4, 7]
22	2.75	0.125	0.5	['E5', 'C6']	['m6']	[0, 4]	[0, 4]
23	1.0	1.0	2.0	['G1']	[]	[0]	[7]
23	2.0	0.5	1.0	['G1', 'G3', 'D4', 'F4', 'A4', 'F5', 'B5']	['P15', 'P19', 'm21', 'M23', 'm28', 'M31', 'P5', 'm7', 'M9', 'm14', 'M17', 'm3', 'm10', 'M13', 'M3', 'P8', 'A11', 'm6', 'A4']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
23	2.5	0.25	1.0	['G3', 'D4', 'B4', 'F5']	['P5', 'M10', 'm14', 'M6', 'm10', 'd5']	[0, 2, 5, 8]	[11, 2, 5, 7]
24	1.0	1.0	2.0	['C2', 'G2', 'C5', 'E5']	['P5', 'P22', 'M24', 'P18', 'M20', 'M3']	[0, 3, 7]	[0, 4, 7]
24	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'C5', 'E5']	['P5', 'P12', 'P15', 'M17', 'P19', 'P22', 'M24', 'P8', 'P11', 'M13', 'P18', 'M20', 'P4', 'M6', 'M3', 'M10', 'm3', 'm6']	[0, 3, 7]	[0, 4, 7]
24	2.5	0.25	1.0	['G3', 'C4', 'E4']	['P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
25	1.0	1.0	0.6666666666666666	['C2', 'G2', 'E4']	['P5', 'M17', 'M13']	[0, 3, 7]	[0, 4, 7]
25	133/100	0.0625	0.6666666666666666	['C2', 'G2', 'D#4']	['P5', 'A16', 'A12']	[0, 3, 7]	[0, 3, 7]
25	167/100	0.0625	0.6666666666666666	['C2', 'G2', 'E4']	['P5', 'M17', 'M13']	[0, 3, 7]	[0, 4, 7]
25	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'C5', 'E5', 'G5']	['P5', 'P12', 'P15', 'M17', 'P19', 'P22', 'M24', 'P26', 'P8', 'P11', 'M13', 'P18', 'M20', 'P4', 'M6', 'M3', 'M10', 'm3', 'm6', 'm10']	[0, 3, 7]	[0, 4, 7]
