2	1.25	0.125	0.125	['B2', 'D4', 'D5']	['m10', 'm17', 'P8']	[0, 3]	[11, 2]
2	1.375	0.0625	0.125	['B2', 'F#4', 'D5']	['P12', 'm17', 'm6']	[0, 3, 7]	[11, 2, 6]
2	1.5	0.25	0.125	['B2', 'D5']	['m17']	[0, 3]	[11, 2]
2	1.625	0.0625	0.125	['B2', 'B3', 'D5']	['P8', 'm17', 'm10']	[0, 3]	[11, 2]
2	1.75	0.125	0.125	['B2', 'D4', 'D5']	['m10', 'm17', 'P8']	[0, 3]	[11, 2]
2	1.875	0.0625	0.125	['B2', 'F#4', 'D5']	['P12', 'm17', 'm6']	[0, 3, 7]	[11, 2, 6]
2	2.0	0.5	0.125	['D3', 'B4']	['M13']	[0, 3]	[11, 2]
2	2.125	0.0625	0.125	['D3', 'B3', 'B4']	['M6', 'M13', 'P8']	[0, 3]	[11, 2]
2	2.25	0.125	0.125	['D3', 'D4', 'B4']	['P8', 'M13', 'M6']	[0, 3]	[11, 2]
2	2.375	0.0625	0.125	['D3', 'F#4', 'B4']	['M10', 'M13', 'P4']	[0, 3, 7]	[11, 2, 6]
2	2.5	0.25	0.125	['D3', 'B4']	['M13']	[0, 3]	[11, 2]
2	2.625	0.0625	0.125	['D3', 'B3', 'B4']	['M6', 'M13', 'P8']	[0, 3]	[11, 2]
2	2.75	0.125	0.125	['D3', 'D4', 'B4']	['P8', 'M13', 'M6']	[0, 3]	[11, 2]
2	2.875	0.0625	0.125	['D3', 'F#4', 'B4']	['M10', 'M13', 'P4']	[0, 3, 7]	[11, 2, 6]
3	1.0	1.0	0.125	['C#3', 'B4', 'E5']	['m14', 'm17', 'P4']	[0, 2, 5]	[11, 1, 4]
3	1.125	0.0625	0.125	['C#3', 'B3', 'B4', 'E5']	['m7', 'm14', 'm17', 'P8', 'P11', 'P4']	[0, 2, 5]	[11, 1, 4]
3	1.25	0.125	0.125	['C#3', 'E4', 'B4', 'E5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[11, 1, 4]
3	1.375	0.0625	0.125	['C#3', 'G4', 'B4', 'E5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[11, 1, 4, 7]
3	1.5	0.25	0.125	['C#3', 'B4', 'E5']	['m14', 'm17', 'P4']	[0, 2, 5]	[11, 1, 4]
3	1.625	0.0625	0.125	['C#3', 'B3', 'B4', 'E5']	['m7', 'm14', 'm17', 'P8', 'P11', 'P4']	[0, 2, 5]	[11, 1, 4]
3	1.75	0.125	0.125	['C#3', 'E4', 'B4', 'E5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[11, 1, 4]
3	1.875	0.0625	0.125	['C#3', 'G4', 'B4', 'E5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[11, 1, 4, 7]
3	2.0	0.5	0.125	['F#3', 'A#4', 'C#5']	['M10', 'P12', 'm3']	[0, 3, 7]	[6, 10, 1]
