13	1.5	0.25	0.5	['C-4', 'D4', 'A-4', 'F5']	['A2', 'M6', 'A11', 'd5', 'm10']	[0, 3, 6, 9]	[2, 5, 8, 11]
13	2.0	0.5	0.5	['E-3', 'B-3', 'E-4', 'G4', 'E-5']	['P5', 'P8', 'M10', 'P15', 'P4', 'M6', 'P11', 'M3', 'm6']	[0, 3, 7]	[3, 7, 10]
13	2.5	0.25	0.5	['F3', 'F4', 'A-4', 'D-5']	['P8', 'm10', 'm13', 'm3', 'm6', 'P4']	[0, 3, 7]	[1, 5, 8]
13	3.0	0.5	0.5	['G3', 'E-4', 'G4', 'C5']	['m6', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 3, 7]	[0, 3, 7]
13	3.5	0.25	0.5	['G3', 'D4', 'F4', 'B4']	['P5', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 2, 5, 8]	[11, 2, 5, 7]
14	1.0	1.0	0.5	['C3', 'B4']	['M14']	[0, 1]	[11, 0]
14	1.5	0.25	0.5	['C3', 'G3', 'D4', 'F4', 'B4']	['P5', 'M9', 'P11', 'M14', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 1, 3, 6, 8]	[11, 0, 2, 5, 7]
14	2.0	0.5	0.5	['C3', 'G3', 'C4', 'E-4', 'C5']	['P5', 'P8', 'm10', 'P15', 'P4', 'm6', 'P11', 'm3', 'M6']	[0, 3, 7]	[0, 3, 7]
14	2.5	0.25	0.5	['E-3', 'E-4', 'G-4', 'B-4', 'B4']	['P8', 'm10', 'P12', 'A12', 'm3', 'P5', 'A5', 'M3', 'A3', 'A1']	[0, 1, 5, 8]	[10, 11, 3, 6]
14	3.0	0.5	0.5	['F3', 'D-4', 'F4', 'B-4', 'B4']	['m6', 'P8', 'P11', 'A11', 'M3', 'M6', 'A6', 'P4', 'A4', 'A1']	[0, 1, 3, 7]	[10, 11, 1, 5]
14	3.5	0.25	0.5	['F3', 'C4', 'E-4', 'A4']	['P5', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 2, 5, 8]	[9, 0, 3, 5]
15	1.0	1.0	0.5	['B-2', 'A4']	['M14']	[0, 1]	[9, 10]
15	1.5	0.25	0.5	['B-2', 'F3', 'C4', 'E-4', 'A4']	['P5', 'M9', 'P11', 'M14', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 1, 3, 6, 8]	[9, 10, 0, 3, 5]
15	2.0	0.5	0.5	['B-2', 'F3', 'B-3', 'D-4', 'B-4']	['P5', 'P8', 'm10', 'P15', 'P4', 'm6', 'P11', 'm3', 'M6']	[0, 3, 7]	[10, 1, 5]
15	2.5	0.25	0.5	['B-2', 'F3', 'D-4', 'B-4']	['P5', 'm10', 'P15', 'm6', 'P11', 'M6']	[0, 3, 7]	[10, 1, 5]
15	3.0	0.5	0.5	['B-2', 'F3', 'D-4', 'B-4']	['P5', 'm10', 'P15', 'm6', 'P11', 'M6']	[0, 3, 7]	[10, 1, 5]
15	3.5	0.25	0.5	['C3', 'F3', 'C4', 'A-4']	['P4', 'P8', 'm13', 'P5', 'm10', 'm6']	[0, 3, 7]	[5, 8, 0]
16	1.0	1.0	0.5	['D-3', 'F3', 'B-3', 'A-4']	['M3', 'M6', 'P12', 'P4', 'm10', 'm7']	[0, 3, 5, 8]	[5, 8, 10, 1]
16	1.5	0.25	0.5	['D-3', 'F3', 'B-3', 'A-4']	['M3', 'M6', 'P12', 'P4', 'm10', 'm7']	[0, 3, 5, 8]	[5, 8, 10, 1]
16	2.0	0.5	0.5	['D-3', 'F3', 'B-3', 'G4']	['M3', 'M6', 'A11', 'P4', 'M9']	[0, 2, 5, 8]	[5, 7, 10, 1]
16	2.5	0.25	0.5	['D-3', 'F3', 'B-3', 'G4']	['M3', 'M6', 'A11', 'P4', 'M9']	[0, 2, 5, 8]	[5, 7, 10, 1]
16	3.0	0.5	0.5	['D-3', 'F3', 'B3', 'G4']	['M3', 'A6', 'A11', 'A4', 'M9', 'm6']	[0, 2, 6, 8]	[5, 7, 11, 1]
16	3.5	0.25	0.25	['D-3', 'G3', 'B3', 'F4', 'G4']	['A4', 'A6', 'M10', 'A11', 'M3', 'm7', 'P8', 'd5', 'm6', 'M2']	[0, 2, 6, 8]	[5, 7, 11, 1]
16	3.75	0.125	0.25	['D-3', 'G3', 'B3', 'F4']	['A4', 'A6', 'M10', 'M3', 'm7', 'd5']	[0, 2, 6, 8]	[5, 7, 11, 1]
17	1.0	1.0	0.5	['C3', 'A-3', 'B3', 'F4']	['m6', 'M7', 'P11', 'A2', 'M6', 'd5']	[0, 1, 4, 7]	[5, 8, 11, 0]
