11	1.0	1.0	1.0	['C#4', 'E4', 'G#4']	['m3', 'P5', 'M3']	[0, 3, 7]	[1, 4, 8]
11	2.0	0.5	0.5	['G#3', 'D4', 'E#4', 'B4']	['d5', 'M6', 'm10', 'A2']	[0, 3, 6, 9]	[2, 5, 8, 11]
11	2.5	0.25	0.5	['G#3', 'D4', 'E#4', 'B4']	['d5', 'M6', 'm10', 'A2']	[0, 3, 6, 9]	[2, 5, 8, 11]
12	1.0	1.0	1.0	['A3', 'C#4', 'F#4']	['M3', 'M6', 'P4']	[0, 3, 7]	[6, 9, 1]
12	2.0	0.5	1.0	['A3', 'C4', 'F#4', 'D#5']	['m3', 'M6', 'A11', 'A4', 'A9']	[0, 3, 6, 9]	[0, 3, 6, 9]
13	1.0	1.0	1.0	['G#3', 'B3', 'E4', 'E5']	['m3', 'm6', 'm13', 'P4', 'P11', 'P8']	[0, 3, 7]	[4, 8, 11]
13	2.0	0.5	1.0	['F#3', 'A3', 'D4', 'B#4']	['m3', 'm6', 'A11', 'P4', 'A9', 'A6']	[0, 2, 5, 8]	[6, 9, 0, 2]
14	1.0	1.0	1.0	['E#3', 'G#3', 'C#4', 'C#5']	['m3', 'm6', 'm13', 'P4', 'P11', 'P8']	[0, 3, 7]	[1, 5, 8]
14	2.0	0.5	0.5	['D3', 'F#3', 'B#3', 'G#4']	['M3', 'A6', 'A11', 'A4', 'M9', 'm6']	[0, 2, 6, 8]	[0, 2, 6, 8]
14	2.5	0.25	0.5	['D3', 'F#3', 'B#3', 'G#4']	['M3', 'A6', 'A11', 'A4', 'M9', 'm6']	[0, 2, 6, 8]	[0, 2, 6, 8]
15	1.0	1.0	1.0	['C#3', 'G3', 'C#4', 'E#4']	['d5', 'P8', 'M10', 'A4', 'A6', 'M3']	[0, 2, 6]	[1, 5, 7]
15	2.0	0.5	1.0	['B2', 'G3', 'C#4', 'E#4']	['m6', 'M9', 'A11', 'A4', 'A6', 'M3']	[0, 2, 6, 8]	[5, 7, 11, 1]
16	1.0	1.0	1.0	['A#2', 'E3', 'F##3', 'C#4']	['d5', 'M6', 'm10', 'A2']	[0, 3, 6, 9]	[1, 4, 7, 10]
16	2.0	0.5	0.5	['A2', 'D#3', 'F##3', 'C#4']	['A4', 'A6', 'M10', 'M3', 'm7', 'd5']	[0, 2, 6, 8]	[1, 3, 7, 9]
16	2.5	0.25	0.5	['A2', 'D#3', 'F##3', 'C#4']	['A4', 'A6', 'M10', 'M3', 'm7', 'd5']	[0, 2, 6, 8]	[1, 3, 7, 9]
17	1.0	1.0	1.0	['G#2', 'D#3', 'G#3', 'B#3', 'G#4']	['P5', 'P8', 'M10', 'P15', 'P4', 'M6', 'P11', 'M3', 'm6']	[0, 3, 7]	[8, 0, 3]
17	2.0	0.5	0.5	['F##2', 'D#3', 'G#3', 'B#3', 'G#4']	['m6', 'm9', 'P11', 'm16', 'P4', 'M6', 'M3', 'P8']	[0, 1, 5, 8]	[7, 8, 0, 3]
17	2.5	0.25	0.5	['F##2', 'D#3', 'G#3', 'B#3']	['m6', 'm9', 'P11', 'P4', 'M6', 'M3']	[0, 1, 5, 8]	[7, 8, 0, 3]
18	1.0	1.0	1.0	['F##2', 'D#3', 'G#3', 'B#3']	['m6', 'm9', 'P11', 'P4', 'M6', 'M3']	[0, 1, 5, 8]	[7, 8, 0, 3]
18	2.0	0.5	1.0	['G#2', 'D#3', 'G#3', 'B#3']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[8, 0, 3]
19	1.0	1.0	0.5	['E2', 'B2', 'E3', 'G#4']	['P5', 'P8', 'M17', 'P4', 'M13', 'M10']	[0, 3, 7]	[4, 8, 11]
19	1.5	0.25	0.5	['E2', 'B2', 'E3', 'G#4']	['P5', 'P8', 'M17', 'P4', 'M13', 'M10']	[0, 3, 7]	[4, 8, 11]
