0	2.5	0.25	0.5	['E-4']	[]	[0]	[3]
6	2.0	0.5	0.5	['A-2', 'A-3', 'A-4']	['P8', 'P15']	[0]	[8]
6	2.5	0.25	0.5	['C4', 'E-4', 'A-4']	['m3', 'm6', 'P4']	[0, 3, 7]	[8, 0, 3]
7	1.0	1.0	0.5	['G3', 'E-4', 'B-4']	['m6', 'm10', 'P5']	[0, 3, 7]	[3, 7, 10]
7	1.5	0.25	0.5	['G3', 'E-4', 'B-4']	['m6', 'm10', 'P5']	[0, 3, 7]	[3, 7, 10]
7	2.0	0.5	0.5	['G3', 'E-4', 'B-4', 'D-5']	['m6', 'm10', 'd12', 'P5', 'm7', 'm3']	[0, 2, 5, 8]	[7, 10, 1, 3]
7	2.5	0.25	0.5	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[8, 0, 3]
8	1.0	1.0	1.5	['E-3', 'E-4', 'G4', 'B-4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[3, 7, 10]
8	2.5	0.25	0.5	['E-4', 'G4', 'B-4']	['M3', 'P5', 'm3']	[0, 3, 7]	[3, 7, 10]
9	1.0	1.0	0.5	['D3', 'B-3', 'F4', 'B-4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[10, 2, 5]
9	1.5	0.25	0.5	['D3', 'B-3', 'F4', 'B-4', 'C5']	['m6', 'm10', 'm13', 'm14', 'P5', 'P8', 'M9', 'P4', 'M2']	[0, 2, 4, 7]	[10, 0, 2, 5]
9	2.0	0.5	0.5	['D3', 'B-3', 'F4', 'A-4', 'B-4']	['m6', 'm10', 'd12', 'm13', 'P5', 'm7', 'P8', 'm3', 'P4', 'M2']	[0, 2, 5, 8]	[2, 5, 8, 10]
9	2.5	0.25	0.5	['D3', 'B-3', 'F4', 'A-4']	['m6', 'm10', 'd12', 'P5', 'm7', 'm3']	[0, 2, 5, 8]	[2, 5, 8, 10]
10	1.0	1.0	1.0	['E-3', 'B-3', 'E-4', 'A-4']	['P5', 'P8', 'P11', 'P4', 'm7']	[0, 2, 7]	[8, 10, 3]
10	2.0	0.5	0.5	['E-3', 'B-3', 'E-4', 'G4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[3, 7, 10]
10	2.5	0.25	0.5	['G4', 'B-4']	['m3']	[0, 3]	[7, 10]
11	1.0	1.0	0.5	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[8, 0, 3]
11	1.5	0.25	0.5	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[8, 0, 3]
11	2.0	0.5	0.5	['C4', 'E-4', 'A-4', 'E-5']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[8, 0, 3]
11	2.5	0.25	0.5	['C4', 'A-4']	['m6']	[0, 4]	[8, 0]
12	1.0	1.0	1.5	['E-4', 'G4', 'B-4', 'C5']	['M3', 'P5', 'M6', 'm3', 'P4', 'M2']	[0, 3, 5, 8]	[7, 10, 0, 3]
12	2.5	0.25	0.5	['G4', 'B-4']	['m3']	[0, 3]	[7, 10]
13	1.0	1.0	0.5	['F4', 'A-4', 'D-5']	['m3', 'm6', 'P4']	[0, 3, 7]	[1, 5, 8]
13	1.5	0.25	0.5	['F4', 'A-4', 'D-5']	['m3', 'm6', 'P4']	[0, 3, 7]	[1, 5, 8]
13	2.0	0.5	0.5	['E-4', 'A-4', 'C5']	['P4', 'M6', 'M3']	[0, 3, 7]	[8, 0, 3]
13	2.5	0.25	0.5	['E-4', 'A-4', 'C5']	['P4', 'M6', 'M3']	[0, 3, 7]	[8, 0, 3]
14	1.0	1.0	1.0	['D-4', 'F4', 'A-4', 'F5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[1, 5, 8]
14	2.0	0.5	0.25	['D-4', 'F4', 'A-4', 'E-5', 'F5']	['M3', 'P5', 'M9', 'M10', 'm3', 'm7', 'P8', 'M6', 'M2']	[0, 2, 4, 7]	[1, 3, 5, 8]
14	2.25	0.125	0.25	['D-4', 'F4', 'A-4', 'D-5', 'F5']	['M3', 'P5', 'P8', 'M10', 'm3', 'm6', 'P4', 'M6']	[0, 3, 7]	[1, 5, 8]
14	2.5	0.25	0.25	['D-3', 'D-4', 'F4', 'B-4', 'C5']	['P8', 'M10', 'M13', 'M14', 'M3', 'M6', 'M7', 'P4', 'P5', 'M2']	[0, 2, 3, 7]	[10, 0, 1, 5]
14	2.75	0.125	0.25	['D-3', 'D-4', 'F4', 'B-4']	['P8', 'M10', 'M13', 'M3', 'M6', 'P4']	[0, 3, 7]	[10, 1, 5]
15	1.0	1.0	0.5	['E-3', 'C4', 'E-4', 'A-4']	['M6', 'P8', 'P11', 'm3', 'm6', 'P4']	[0, 3, 7]	[8, 0, 3]
15	1.5	0.25	0.25	['E-3', 'C4', 'E-4', 'A-4']	['M6', 'P8', 'P11', 'm3', 'm6', 'P4']	[0, 3, 7]	[8, 0, 3]
15	1.75	0.125	0.25	['E-3', 'C4', 'E-4', 'A-4', 'B-4']	['M6', 'P8', 'P11', 'P12', 'm3', 'm6', 'm7', 'P4', 'P5', 'M2']	[0, 2, 4, 7]	[8, 10, 0, 3]
15	2.0	0.5	0.5	['E-3', 'E-4', 'A-4', 'C5']	['P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[8, 0, 3]
15	2.5	0.25	0.5	['E-3', 'D-4', 'G4', 'B-4']	['m7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[7, 10, 1, 3]
16	1.0	1.0	1.5	['A-2', 'A-3', 'C4', 'E-4', 'A-4']	['P8', 'M10', 'P12', 'P15', 'M3', 'P5', 'm3', 'm6', 'P4']	[0, 3, 7]	[8, 0, 3]
