4	5/3	0.0625	1/3	['G3', 'C4', 'D4', 'E5']	['P4', 'P5', 'M13', 'M2', 'M10', 'M9']	[0, 2, 4, 7]	[0, 2, 4, 7]
4	2.0	0.5	1.0	['G3', 'C4', 'D4', 'D5']	['P4', 'P5', 'P12', 'M2', 'M9', 'P8']	[0, 2, 7]	[0, 2, 7]
4	3.0	0.5	1/3	['G2', 'G3', 'B3', 'D4', 'G4', 'B4', 'D5']	['P8', 'M10', 'P12', 'P15', 'M17', 'P19', 'M3', 'P5', 'm3', 'm6', 'm10', 'P4', 'M6']	[0, 3, 7]	[7, 11, 2]
4	10/3	0.0625	1/3	['G2', 'G3', 'B3', 'D4', 'G4', 'D5']	['P8', 'M10', 'P12', 'P15', 'P19', 'M3', 'P5', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[7, 11, 2]
4	11/3	0.0625	1/12	['G2', 'G3', 'B3', 'D4', 'G4', 'D5']	['P8', 'M10', 'P12', 'P15', 'P19', 'M3', 'P5', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[7, 11, 2]
4	3.75	0.125	0.25	['G2', 'G3', 'B3', 'D4', 'G4', 'B4']	['P8', 'M10', 'P12', 'P15', 'M17', 'M3', 'P5', 'm3', 'm6', 'P4', 'M6']	[0, 3, 7]	[7, 11, 2]
5	1.0	1.0	1/3	['F#2', 'F#3', 'B3', 'D4', 'G4', 'B4']	['P8', 'P11', 'm13', 'm16', 'P18', 'P4', 'm6', 'm9', 'm3', 'M6', 'M3']	[0, 1, 5, 8]	[6, 7, 11, 2]
5	4/3	0.0625	1/3	['F#2', 'F#3', 'B3', 'D4', 'G4', 'B4']	['P8', 'P11', 'm13', 'm16', 'P18', 'P4', 'm6', 'm9', 'm3', 'M6', 'M3']	[0, 1, 5, 8]	[6, 7, 11, 2]
5	5/3	0.0625	1/3	['F#2', 'F#3', 'B3', 'D4', 'G4', 'B4']	['P8', 'P11', 'm13', 'm16', 'P18', 'P4', 'm6', 'm9', 'm3', 'M6', 'M3']	[0, 1, 5, 8]	[6, 7, 11, 2]
5	2.0	0.5	1/3	['F#2', 'F#3', 'B3', 'D4', 'G4', 'B4']	['P8', 'P11', 'm13', 'm16', 'P18', 'P4', 'm6', 'm9', 'm3', 'M6', 'M3']	[0, 1, 5, 8]	[6, 7, 11, 2]
5	7/3	0.0625	1/6	['F#2', 'F#3', 'B3', 'D4', 'G4', 'B4']	['P8', 'P11', 'm13', 'm16', 'P18', 'P4', 'm6', 'm9', 'm3', 'M6', 'M3']	[0, 1, 5, 8]	[6, 7, 11, 2]
5	2.5	0.25	1/6	['F#2', 'F#3', 'B3', 'D4', 'G4', 'B4']	['P8', 'P11', 'm13', 'm16', 'P18', 'P4', 'm6', 'm9', 'm3', 'M6', 'M3']	[0, 1, 5, 8]	[6, 7, 11, 2]
5	8/3	0.0625	1/3	['F#2', 'F#3', 'B3', 'D4', 'G4', 'B4']	['P8', 'P11', 'm13', 'm16', 'P18', 'P4', 'm6', 'm9', 'm3', 'M6', 'M3']	[0, 1, 5, 8]	[6, 7, 11, 2]
5	3.0	0.5	1/3	['E2', 'E3', 'B3', 'E4', 'G4', 'B4', 'G5']	['P8', 'P12', 'P15', 'm17', 'P19', 'm24', 'P5', 'm10', 'P4', 'm6', 'm13', 'm3', 'M3']	[0, 3, 7]	[4, 7, 11]
5	10/3	0.0625	1/6	['E2', 'E3', 'B3', 'E4', 'G4', 'B4', 'G5']	['P8', 'P12', 'P15', 'm17', 'P19', 'm24', 'P5', 'm10', 'P4', 'm6', 'm13', 'm3', 'M3']	[0, 3, 7]	[4, 7, 11]
5	3.5	0.25	1/6	['E2', 'E3', 'B3', 'E4', 'G4', 'B4', 'E5']	['P8', 'P12', 'P15', 'm17', 'P19', 'P22', 'P5', 'm10', 'P4', 'm6', 'P11', 'm3', 'M3', 'M6']	[0, 3, 7]	[4, 7, 11]
5	11/3	0.0625	1/3	['E2', 'E3', 'B3', 'E4', 'G4', 'B4', 'E5']	['P8', 'P12', 'P15', 'm17', 'P19', 'P22', 'P5', 'm10', 'P4', 'm6', 'P11', 'm3', 'M3', 'M6']	[0, 3, 7]	[4, 7, 11]
6	1.0	1.0	1/3	['E3', 'B3', 'D5']	['P5', 'm14', 'm10']	[0, 2, 5]	[11, 2, 4]
6	4/3	0.0625	1/3	['E3', 'B3', 'E4', 'G4', 'D5']	['P5', 'P8', 'm10', 'm14', 'P4', 'm6', 'm3', 'm7']	[0, 3, 5, 8]	[11, 2, 4, 7]
6	5/3	0.0625	1/3	['E3', 'B3', 'E4', 'G4', 'D5']	['P5', 'P8', 'm10', 'm14', 'P4', 'm6', 'm3', 'm7']	[0, 3, 5, 8]	[11, 2, 4, 7]
6	2.0	0.5	1/3	['E3', 'C4', 'C5']	['m6', 'm13', 'P8']	[0, 4]	[0, 4]
6	7/3	0.0625	1/3	['E3', 'C4', 'E4', 'G4', 'C5']	['m6', 'P8', 'm10', 'm13', 'M3', 'P5', 'm3', 'P4']	[0, 3, 7]	[0, 4, 7]
6	8/3	0.0625	1/3	['E3', 'C4', 'E4', 'G4', 'C5']	['m6', 'P8', 'm10', 'm13', 'M3', 'P5', 'm3', 'P4']	[0, 3, 7]	[0, 4, 7]
6	3.0	0.5	1/3	['C3', 'G3', 'E5']	['P5', 'M17', 'M13']	[0, 3, 7]	[0, 4, 7]
6	10/3	0.0625	1/6	['C3', 'G3', 'E4', 'G4', 'E5']	['P5', 'M10', 'P12', 'M17', 'M6', 'P8', 'M13', 'm3']	[0, 3, 7]	[0, 4, 7]
6	3.5	0.25	1/6	['C3', 'G3', 'E4', 'G4', 'C5']	['P5', 'M10', 'P12', 'P15', 'M6', 'P8', 'P11', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
6	11/3	0.0625	1/3	['C3', 'G3', 'E4', 'G4', 'C5']	['P5', 'M10', 'P12', 'P15', 'M6', 'P8', 'P11', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
7	1.0	1.0	1/3	['C3', 'G#3', 'B4']	['A5', 'M14', 'm10']	[0, 1, 4]	[8, 11, 0]
7	4/3	0.0625	1/3	['C3', 'G#3', 'D4', 'F4', 'B4']	['A5', 'M9', 'P11', 'M14', 'd5', 'd7', 'm10', 'm3', 'M6', 'A4']	[0, 1, 3, 6, 9]	[11, 0, 2, 5, 8]
7	5/3	0.0625	1/3	['C3', 'G#3', 'D4', 'F4', 'B4']	['A5', 'M9', 'P11', 'M14', 'd5', 'd7', 'm10', 'm3', 'M6', 'A4']	[0, 1, 3, 6, 9]	[11, 0, 2, 5, 8]
7	2.0	0.5	1/3	['C3', 'A3', 'A4']	['M6', 'M13', 'P8']	[0, 3]	[9, 0]
7	7/3	0.0625	1/6	['C3', 'A3', 'C4', 'E4', 'A4']	['M6', 'P8', 'M10', 'M13', 'm3', 'P5', 'M3', 'P4']	[0, 3, 7]	[9, 0, 4]
7	2.5	0.25	1/6	['C3', 'A3', 'C4', 'E4', 'A4']	['M6', 'P8', 'M10', 'M13', 'm3', 'P5', 'M3', 'P4']	[0, 3, 7]	[9, 0, 4]
7	8/3	0.0625	1/3	['C3', 'A3', 'C4', 'E4', 'A4']	['M6', 'P8', 'M10', 'M13', 'm3', 'P5', 'M3', 'P4']	[0, 3, 7]	[9, 0, 4]
7	3.0	0.5	1/3	['C3', 'G3', 'A#4', 'E5']	['P5', 'A13', 'M17', 'A9', 'M13', 'd5']	[0, 2, 5, 8]	[4, 7, 10, 0]
7	10/3	0.0625	1/6	['C3', 'G3', 'C4', 'E4', 'E5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[0, 4, 7]
7	3.5	0.25	1/6	['C3', 'G3', 'C4', 'E4', 'A#4']	['P5', 'P8', 'M10', 'A13', 'P4', 'M6', 'A9', 'M3', 'A6', 'A4']	[0, 2, 5, 8]	[4, 7, 10, 0]
7	11/3	0.0625	1/3	['C3', 'G3', 'C4', 'E4', 'A#4']	['P5', 'P8', 'M10', 'A13', 'P4', 'M6', 'A9', 'M3', 'A6', 'A4']	[0, 2, 5, 8]	[4, 7, 10, 0]
8	1.0	1.0	1/3	['B2', 'G3', 'B3', 'E4', 'B4']	['m6', 'P8', 'P11', 'P15', 'M3', 'M6', 'M10', 'P4', 'P5']	[0, 3, 7]	[4, 7, 11]
8	4/3	0.0625	1/3	['A3', 'F#4', 'B4']	['M6', 'M9', 'P4']	[0, 2, 5]	[6, 9, 11]
8	5/3	0.0625	1/3	['G3', 'E4', 'B4']	['M6', 'M10', 'P5']	[0, 3, 7]	[4, 7, 11]
8	2.0	0.5	1/3	['F#3', 'D#4']	['M6']	[0, 3]	[3, 6]
8	7/3	0.0625	1/3	['D#3', 'B3']	['m6']	[0, 4]	[11, 3]
8	8/3	0.0625	1/3	['F#3', 'D#4']	['M6']	[0, 3]	[3, 6]
8	3.0	0.5	1/3	['B3', 'F#4']	['P5']	[0, 5]	[6, 11]
8	10/3	0.0625	1/3	['D#4', 'F#4', 'B4']	['m3', 'm6', 'P4']	[0, 3, 7]	[11, 3, 6]
8	11/3	0.0625	1/12	['F#4', 'D#5']	['M6']	[0, 3]	[3, 6]
8	3.75	0.125	0.25	['F#4', 'D#5']	['M6']	[0, 3]	[3, 6]
9	1.0	1.0	1/3	['F#2', 'F#5']	['P22']	[0]	[6]
9	4/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'F#5']	['P4', 'M6', 'P15', 'M3', 'P12', 'm10']	[0, 3, 7]	[11, 3, 6]
9	5/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'F#5']	['P4', 'M6', 'P15', 'M3', 'P12', 'm10']	[0, 3, 7]	[11, 3, 6]
9	2.0	0.5	1/3	['F#3', 'B3', 'D#4', 'F#4', 'F#5']	['P4', 'M6', 'P8', 'P15', 'M3', 'P5', 'P12', 'm3', 'm10']	[0, 3, 7]	[11, 3, 6]
9	7/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'E5']	['P4', 'M6', 'm14', 'M3', 'P11', 'm9']	[0, 2, 3, 7]	[11, 3, 4, 6]
9	8/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'D#5']	['P4', 'M6', 'M13', 'M3', 'M10', 'P8']	[0, 3, 7]	[11, 3, 6]
9	3.0	0.5	1/3	['F#3', 'A#3', 'E4', 'F#4', 'C#5']	['M3', 'm7', 'P8', 'P12', 'd5', 'm6', 'm10', 'M2', 'M6', 'P5']	[0, 2, 5, 8]	[10, 1, 4, 6]
9	10/3	0.0625	1/6	['B3', 'E4', 'F#4', 'D#5']	['P4', 'P5', 'M10', 'M2', 'M7', 'M6']	[0, 2, 3, 7]	[11, 3, 4, 6]
9	3.5	0.25	1/6	['B3', 'F#4', 'D#5']	['P5', 'M10', 'M6']	[0, 3, 7]	[11, 3, 6]
9	11/3	0.0625	1/3	['A#3', 'F#4', 'C#5']	['m6', 'm10', 'P5']	[0, 3, 7]	[6, 10, 1]
10	1.0	1.0	1/3	['F#2', 'B4', 'F#5']	['P18', 'P22', 'P5']	[0, 5]	[6, 11]
10	4/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'B4', 'F#5']	['P4', 'M6', 'P11', 'P15', 'M3', 'P8', 'P12', 'm6', 'm10', 'P5']	[0, 3, 7]	[11, 3, 6]
