15	2.25	0.125	0.25	['C3', 'C4', 'E4', 'G4', 'C5']	['P8', 'M10', 'P12', 'P15', 'M3', 'P5', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
15	2.5	0.25	0.25	['C2', 'C4', 'E4', 'G4', 'C5']	['P15', 'M17', 'P19', 'P22', 'M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
15	2.75	0.125	0.25	['C2', 'C4', 'E4', 'G4', 'B-4']	['P15', 'M17', 'P19', 'm21', 'M3', 'P5', 'm7', 'm3', 'd5']	[0, 2, 5, 8]	[4, 7, 10, 0]
16	1.0	1.0	0.375	['F2', 'C4', 'F4', 'A-4']	['P12', 'P15', 'm17', 'P4', 'm6', 'm3']	[0, 3, 7]	[5, 8, 0]
16	1.38	0.0625	0.125	['G2', 'C4', 'F4', 'A-4']	['P11', 'm14', 'm16', 'P4', 'm6', 'm3']	[0, 2, 3, 7]	[5, 7, 8, 0]
16	1.5	0.25	0.375	['A-2', 'C4', 'F4', 'A-4']	['M10', 'M13', 'P15', 'P4', 'm6', 'm3']	[0, 3, 7]	[5, 8, 0]
16	1.88	0.0625	0.125	['B-2', 'C4', 'F4', 'A-4']	['M9', 'P12', 'm14', 'P4', 'm6', 'm3']	[0, 2, 4, 7]	[5, 8, 10, 0]
16	2.0	0.5	0.5	['C3', 'C4', 'E4', 'G4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[0, 4, 7]
16	2.5	0.25	0.25	['C3', 'C4', 'E-4', 'G4']	['P8', 'm10', 'P12', 'm3', 'P5', 'M3']	[0, 3, 7]	[0, 3, 7]
16	2.75	0.125	0.25	['C3', 'C4', 'E-4', 'G4']	['P8', 'm10', 'P12', 'm3', 'P5', 'M3']	[0, 3, 7]	[0, 3, 7]
17	1.0	1.0	0.375	['D3', 'B-3', 'D4', 'G4']	['m6', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 3, 7]	[7, 10, 2]
17	1.38	0.0625	0.125	['D3', 'B-3', 'D4', 'G4', 'A4']	['m6', 'P8', 'P11', 'P12', 'M3', 'M6', 'M7', 'P4', 'P5', 'M2']	[0, 2, 3, 7]	[7, 9, 10, 2]
17	1.5	0.25	0.375	['D3', 'B-3', 'D4', 'G4', 'B-4']	['m6', 'P8', 'P11', 'm13', 'M3', 'M6', 'P4', 'm3']	[0, 3, 7]	[7, 10, 2]
17	1.88	0.0625	0.125	['D3', 'B-3', 'D4', 'G4', 'C5']	['m6', 'P8', 'P11', 'm14', 'M3', 'M6', 'M9', 'P4', 'm7']	[0, 2, 4, 7]	[7, 10, 0, 2]
17	2.0	0.5	0.5	['D3', 'A3', 'D4', 'G4', 'D5']	['P5', 'P8', 'P11', 'P15', 'P4', 'm7']	[0, 2, 7]	[7, 9, 2]
17	2.5	0.25	0.25	['D3', 'A3', 'D4', 'F#4', 'D5']	['P5', 'P8', 'M10', 'P15', 'P4', 'M6', 'P11', 'M3', 'm6']	[0, 3, 7]	[2, 6, 9]
17	2.75	0.125	0.25	['D3', 'A3', 'D4', 'F#4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[2, 6, 9]
18	1.0	1.0	0.375	['D3', 'B-3', 'D4', 'G4']	['m6', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 3, 7]	[7, 10, 2]
18	1.38	0.0625	0.125	['D3', 'B-3', 'D4', 'G4', 'A4']	['m6', 'P8', 'P11', 'P12', 'M3', 'M6', 'M7', 'P4', 'P5', 'M2']	[0, 2, 3, 7]	[7, 9, 10, 2]
18	1.5	0.25	0.375	['D3', 'B-3', 'D4', 'G4', 'B-4']	['m6', 'P8', 'P11', 'm13', 'M3', 'M6', 'P4', 'm3']	[0, 3, 7]	[7, 10, 2]
18	1.88	0.0625	0.125	['D3', 'B-3', 'D4', 'G4', 'C5']	['m6', 'P8', 'P11', 'm14', 'M3', 'M6', 'M9', 'P4', 'm7']	[0, 2, 4, 7]	[7, 10, 0, 2]
18	2.0	0.5	0.5	['D3', 'A3', 'D4', 'G4', 'D5']	['P5', 'P8', 'P11', 'P15', 'P4', 'm7']	[0, 2, 7]	[7, 9, 2]
18	2.5	0.25	0.25	['D3', 'A3', 'D4', 'F#4', 'D5']	['P5', 'P8', 'M10', 'P15', 'P4', 'M6', 'P11', 'M3', 'm6']	[0, 3, 7]	[2, 6, 9]
18	2.75	0.125	0.25	['D3', 'A3', 'D4', 'F#4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[2, 6, 9]
19	1.0	1.0	0.375	['G2', 'B-3', 'D4', 'G4']	['m10', 'P12', 'P15', 'M3', 'M6', 'P4']	[0, 3, 7]	[7, 10, 2]
19	1.38	0.0625	0.125	['A2', 'B-3', 'D4', 'G4']	['m9', 'P11', 'm14', 'M3', 'M6', 'P4']	[0, 2, 3, 7]	[7, 9, 10, 2]
19	1.5	0.25	0.375	['B-2', 'B-3', 'D4', 'G4']	['P8', 'M10', 'M13', 'M3', 'M6', 'P4']	[0, 3, 7]	[7, 10, 2]
19	1.88	0.0625	0.125	['C3', 'B-3', 'D4', 'G4']	['m7', 'M9', 'P12', 'M3', 'M6', 'P4']	[0, 2, 4, 7]	[7, 10, 0, 2]
19	2.0	0.5	0.5	['D3', 'A3', 'D4', 'G4']	['P5', 'P8', 'P11', 'P4', 'm7']	[0, 2, 7]	[7, 9, 2]
19	2.5	0.25	0.5	['D2', 'D3', 'A3', 'D4', 'F#4']	['P8', 'P12', 'P15', 'M17', 'P5', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[2, 6, 9]
20	1.0	1.0	0.5	['G2', 'D3', 'B-3', 'D4', 'G4']	['P5', 'm10', 'P12', 'P15', 'm6', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 3, 7]	[7, 10, 2]
20	1.5	0.25	0.5	['G2', 'D3', 'B-3', 'D4', 'G4']	['P5', 'm10', 'P12', 'P15', 'm6', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 3, 7]	[7, 10, 2]
20	2.0	0.5	0.5	['G4']	[]	[0]	[7]
20	2.5	0.25	0.5	['G4']	[]	[0]	[7]
21	1.0	1.0	0.5	['G4']	[]	[0]	[7]
21	1.5	0.25	0.5	['G4']	[]	[0]	[7]
21	2.0	0.5	0.5	['G4']	[]	[0]	[7]
21	2.5	0.25	0.25	['B3', 'G4']	['m6']	[0, 4]	[7, 11]
21	2.75	0.125	0.25	['C4', 'A4']	['M6']	[0, 3]	[9, 0]
22	1.0	1.0	0.5	['G3', 'D4', 'G4', 'B4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
22	1.5	0.25	0.5	['G3', 'D4', 'G4', 'B4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
22	2.0	0.5	0.5	['G3', 'D4', 'G4', 'B4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
22	2.5	0.25	0.5	['G3', 'D4', 'G4', 'B4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
23	1.0	1.0	1.0	['G3', 'D4', 'G4', 'B4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
23	2.0	0.5	0.5	['G3', 'B3', 'G4']	['M3', 'P8', 'm6']	[0, 4]	[7, 11]
23	2.5	0.25	0.25	['G3', 'C4', 'G4', 'A4']	['P4', 'P8', 'M9', 'P5', 'M6', 'M2']	[0, 2, 5]	[7, 9, 0]
23	2.75	0.125	0.25	['G3', 'D4', 'G4', 'B4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
24	1.0	1.0	0.5	['G3', 'E4', 'G4', 'C5']	['M6', 'P8', 'P11', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
24	1.5	0.25	0.5	['G3', 'D4', 'G4', 'B4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
24	2.0	0.5	0.5	['F#3', 'C4', 'D4', 'A4']	['d5', 'm6', 'm10', 'M2', 'M6', 'P5']	[0, 2, 5, 8]	[6, 9, 0, 2]
24	2.5	0.25	0.5	['G3', 'B3', 'D4', 'G4']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[7, 11, 2]
25	1.0	1.0	0.5	['D3', 'D4', 'F#4', 'A4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[2, 6, 9]
