3	5/3	0.25	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
3	11/6	0.125	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
3	2.0	0.5	0.25	['A3', 'G4', 'A4']	['m7', 'P8', 'M2']	[0, 2]	[7, 9]
3	13/6	0.125	0.25	['A3', 'A4']	['P8']	[0]	[9]
3	7/3	0.25	0.25	['A3', 'A4', 'C#5']	['P8', 'M10', 'M3']	[0, 4]	[9, 1]
3	2.5	0.125	0.25	['A3', 'A4']	['P8']	[0]	[9]
3	8/3	0.25	0.25	['A3', 'G4']	['m7']	[0, 2]	[7, 9]
3	17/6	0.125	0.25	['A3', 'G4', 'A4']	['m7', 'P8', 'M2']	[0, 2]	[7, 9]
4	1.0	1.0	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
4	7/6	0.125	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
4	4/3	0.25	0.25	['D3', 'F#4', 'D5']	['M10', 'P15', 'm6']	[0, 4]	[2, 6]
4	1.5	0.125	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
4	5/3	0.25	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
4	11/6	0.125	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
4	2.0	0.5	0.25	['D3', 'D4']	['P8']	[0]	[2]
4	13/6	0.125	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
4	7/3	0.25	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
4	2.5	0.125	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
4	8/3	0.25	0.25	['D3', 'D4', 'F#4']	['P8', 'M10', 'M3']	[0, 4]	[2, 6]
4	17/6	0.125	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
5	1.0	1.0	0.25	['A3', 'C#4', 'G4']	['M3', 'm7', 'd5']	[0, 2, 6]	[7, 9, 1]
5	7/6	0.125	0.25	['A3', 'E4', 'G4']	['P5', 'm7', 'm3']	[0, 2, 5]	[4, 7, 9]
5	4/3	0.25	0.25	['A3', 'G4']	['m7']	[0, 2]	[7, 9]
5	1.5	0.125	0.25	['A3', 'E4', 'G4']	['P5', 'm7', 'm3']	[0, 2, 5]	[4, 7, 9]
5	5/3	0.25	0.25	['A3', 'C#4', 'F#4']	['M3', 'M6', 'P4']	[0, 3, 7]	[6, 9, 1]
5	11/6	0.125	0.25	['A3', 'E4', 'F#4']	['P5', 'M6', 'M2']	[0, 2, 5]	[4, 6, 9]
5	2.0	0.5	0.25	['G3', 'C#4', 'E4']	['A4', 'M6', 'm3']	[0, 3, 6]	[1, 4, 7]
5	13/6	0.125	0.25	['G3', 'E4']	['M6']	[0, 3]	[4, 7]
5	7/3	0.25	0.25	['G3', 'E4', 'B4']	['M6', 'M10', 'P5']	[0, 3, 7]	[4, 7, 11]
5	2.5	0.125	0.25	['G3', 'E4']	['M6']	[0, 3]	[4, 7]
5	8/3	0.25	0.25	['G3', 'C#4', 'B4']	['A4', 'M10', 'm7']	[0, 2, 6]	[7, 11, 1]
5	17/6	0.125	0.25	['G3', 'E4', 'B4']	['M6', 'M10', 'P5']	[0, 3, 7]	[4, 7, 11]
6	1.0	1.0	0.25	['F#3', 'D4', 'A4']	['m6', 'm10', 'P5']	[0, 3, 7]	[2, 6, 9]
6	7/6	0.125	0.25	['F#3', 'F#4', 'A4']	['P8', 'm10', 'm3']	[0, 3]	[6, 9]
6	4/3	0.25	0.25	['F#3', 'A4']	['m10']	[0, 3]	[6, 9]
6	1.5	0.125	0.25	['F#3', 'F#4', 'A4']	['P8', 'm10', 'm3']	[0, 3]	[6, 9]
6	5/3	0.25	0.25	['F#3', 'D4', 'A4']	['m6', 'm10', 'P5']	[0, 3, 7]	[2, 6, 9]
6	11/6	0.125	0.25	['F#3', 'F#4', 'A4']	['P8', 'm10', 'm3']	[0, 3]	[6, 9]
6	2.0	0.5	0.25	['D3', 'D4', 'A4']	['P8', 'P12', 'P5']	[0, 5]	[9, 2]
6	13/6	0.125	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
6	7/3	0.25	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
6	2.5	0.125	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
6	8/3	0.25	0.25	['D3', 'D4', 'F#4']	['P8', 'M10', 'M3']	[0, 4]	[2, 6]
6	17/6	0.125	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
7	1.0	1.0	0.25	['A3', 'C#4', 'G4', 'A4']	['M3', 'm7', 'P8', 'd5', 'm6', 'M2']	[0, 2, 6]	[7, 9, 1]
7	7/6	0.125	0.25	['A3', 'E4', 'G4']	['P5', 'm7', 'm3']	[0, 2, 5]	[4, 7, 9]
7	4/3	0.25	0.25	['A3', 'G4']	['m7']	[0, 2]	[7, 9]
7	1.5	0.125	0.25	['A3', 'E4', 'G4']	['P5', 'm7', 'm3']	[0, 2, 5]	[4, 7, 9]
7	5/3	0.25	0.25	['A3', 'C#4', 'F#4']	['M3', 'M6', 'P4']	[0, 3, 7]	[6, 9, 1]
7	11/6	0.125	0.25	['A3', 'E4', 'F#4']	['P5', 'M6', 'M2']	[0, 2, 5]	[4, 6, 9]
7	2.0	0.5	0.25	['G3', 'C#4', 'E4']	['A4', 'M6', 'm3']	[0, 3, 6]	[1, 4, 7]
7	13/6	0.125	0.25	['G3', 'E4']	['M6']	[0, 3]	[4, 7]
7	7/3	0.25	0.25	['G3', 'E4', 'B4']	['M6', 'M10', 'P5']	[0, 3, 7]	[4, 7, 11]
7	2.5	0.125	0.25	['G3', 'E4']	['M6']	[0, 3]	[4, 7]
7	8/3	0.25	0.25	['G3', 'C#4', 'B4']	['A4', 'M10', 'm7']	[0, 2, 6]	[7, 11, 1]
7	17/6	0.125	0.25	['G3', 'E4', 'B4']	['M6', 'M10', 'P5']	[0, 3, 7]	[4, 7, 11]
8	1.0	1.0	0.25	['F#3', 'D4', 'A4']	['m6', 'm10', 'P5']	[0, 3, 7]	[2, 6, 9]
8	7/6	0.125	0.25	['F#3', 'F#4', 'A4']	['P8', 'm10', 'm3']	[0, 3]	[6, 9]
8	4/3	0.25	0.25	['F#3', 'A4']	['m10']	[0, 3]	[6, 9]
8	1.5	0.125	0.25	['F#3', 'F#4', 'A4']	['P8', 'm10', 'm3']	[0, 3]	[6, 9]
8	5/3	0.25	0.25	['F#3', 'D4', 'A4']	['m6', 'm10', 'P5']	[0, 3, 7]	[2, 6, 9]
8	11/6	0.125	0.25	['F#3', 'F#4', 'A4']	['P8', 'm10', 'm3']	[0, 3]	[6, 9]
8	2.0	0.5	0.25	['D3', 'D4']	['P8']	[0]	[2]
8	13/6	0.125	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
8	7/3	0.25	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
8	2.5	0.125	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
8	8/3	0.25	0.25	['D3', 'D4', 'G4']	['P8', 'P11', 'P4']	[0, 5]	[2, 7]
8	17/6	0.125	0.25	['D3', 'F#4', 'G4']	['M10', 'P11', 'm2']	[0, 1, 5]	[2, 6, 7]
