Composer,Collection,Song,Count,Measures
Hugo Wolf,Eichendorff-Lieder,Seemanns Abschied,21,"[1, 2, 5, 6, 16, 22, 23, 26, 27, 31, 43, 44, 47, 48, 68]"
Franz Schubert,Schwanengesang,Der Doppelgänger,17,"[32, 41, 42, 51]"
Gustav Mahler,Kindertotenlieder,"Nun seh' ich wohl, warum so dunkle Flammen",14,"[2, 19, 28, 33, 37, 65, 70, 72]"
Fanny (Mendelssohn) Hensel,"5 Lieder, Op.10",Vorwurf,11,"[5, 16, 21, 34]"
Franz Schubert,Schwanengesang (D.975),Am Meer,9.5,"[1, 2, 44, 45]"
Hugo Wolf,Eichendorff-Lieder,Liebesglück,9.25,"[6, 7, 8, 13, 14, 18, 19]"
Franz Schubert,"Winterreise, D.911",Die Post,9,"[18, 31, 63, 76]"
Josephine Lang,"Sechs Lieder, Op.25",Lied (Immer sich rein kindlich erfreu'n),8.333,"[6, 16, 28, 38, 50, 58]"
Franz Schubert,Die schöne Müllerin (D.795),Pause,8,"[39, 40, 66, 74]"
Hugo Wolf,Eichendorff-Lieder,Waldmädchen,7.792,"[7, 27, 31, 32, 35, 39, 40, 44, 45, 52, 54, 75, 79, 80, 83, 87, 93, 108, 118, 129, 130, 131, 132]"
Ernest Chausson,7 Mélodies,Le Colibri,7.5,"[7, 18, 26, 35]"
Hugo Wolf,Eichendorff-Lieder,Heimweh,7,"[8, 18, 26, 28, 37]"
Ludwig van Beethoven,"6 Lieder, Op.48",Vom Tode,7,"[15, 16, 38]"
Louise Reichardt,Zwölf Deutsche und Italiänische Romantische Gesänge,Ida (aus Ariels Offenbarungen),6.75,"[9, 11, 35, 43, 51]"
Robert Schumann,"Dichterliebe, Op.48",Das ist ein Flöten und Geigen,6.75,"[1, 4, 5, 8, 30, 64, 82]"
Robert Schumann,Liederkreis,Zwielicht,6.5,"[13, 14, 21, 22, 39]"
Robert Schumann,"Liederkreis, Op.39",Waldesgespräch,6.5,"[25, 27, 55, 57, 60, 61]"
Gustav Mahler,Kindertotenlieder,Wenn dein Mütterlein,6,"[23, 27, 54, 58]"
Franz Schubert,"Winterreise, D.911",Frühlingstraum,6,"[16, 18, 20, 22, 24, 60, 62, 64, 66, 68]"
Ludwig van Beethoven,"6 Lieder, Op.48",Die Ehre Gottes aus der Natur,6,"[10, 27]"
Franz Schubert,"Winterreise, D.911",Rast,5.5,"[23, 26, 27, 28, 29, 53, 56, 57, 58, 59]"
Emmanuel Chabrier,Villanelle des petits canards,,5,"[30, 31, 58, 59]"
Hugo Wolf,Eichendorff-Lieder,Der verzweifelte Liebhaber,5,"[7, 16, 24, 27]"
Cécile Chaminade,Amoroso,Amoroso,4.5,"[5, 7, 21, 23, 37, 39]"
Robert Schumann,"Liederkreis, Op.39",Auf einer Burg,4,"[15, 36]"
Clara Schumann,"6 Lieder, Op.13",Die stille Lotosblume,4,"[4, 12, 23]"
Hugo Wolf,Goethe-Lieder,Hoch beglückt in deiner Liebe,4,"[4, 11, 30, 37, 57, 63, 65, 72]"
Franz Schubert,Ständchen,lg-32137369.xml,4,"[23, 27]"
Fanny (Mendelssohn) Hensel,"5 Lieder, Op.10",Nach Süden,4,"[6, 8, 37, 39]"
Fanny (Mendelssohn) Hensel,"5 Lieder, Op.10",Im Herbste,4,"[23, 28, 29]"
Franz Schubert,"D.778, Op.60",Greisengesang,4,"[2, 50]"
Franz Schubert,"Winterreise, D.911",Letzte Hoffnung,3.75,"[6, 10, 21, 22, 23]"
Hugo Wolf,Eichendorff-Lieder,Nachtzauber,3.75,"[8, 14, 20, 37, 49, 50, 57, 58]"
Franz Schubert,"Winterreise, D.911",Der Wegweiser,3.5,"[38, 76, 78]"
Hugo Wolf,Eichendorff-Lieder,Der Freund,3.333,"[2, 15, 18, 22]"
Franz Schubert,"Schwanengesang, D.957",Aufenthalt,3.333,"[53, 108]"
Hugo Wolf,Eichendorff-Lieder,Unfall,3.167,"[10, 15, 16, 21, 27, 30]"
Robert Schumann,"Frauenliebe und Leben, Op.42","Süsser Freund, du blickest",3,"[2, 5, 12, 15, 45, 48]"
Franz Schubert,"Schwanengesang, D.957",Kriegers Ahnung,3,"[14, 24, 111]"
Richard Wagner,5 Gedichte für eine Frauenstimme (Wesendonck-Lieder),Der Engel,3,"[23, 26]"
Gustav Mahler,Kindertotenlieder,Oft denk' ich sie sind nur ausgegangen,3,"[43, 66]"
Franz Schubert,Die schöne Müllerin,Eifersucht und Stolz,3,"[11, 28, 69, 70, 73, 74]"
Robert Schumann,"Dichterliebe, Op.48",Am leuchtenden Sommermorgen,2.5,"[1, 8, 9, 11, 16, 19, 24, 26]"
Johannes Brahms,6 Songs,Liebe und Frühling II,2.5,"[19, 21, 29, 31]"
Franz Schubert,Die schöne Müllerin (D.795),Trockne Blumen,2.5,"[14, 15, 29]"
Hugo Wolf,Eichendorff-Lieder,Lieber Alles,2.375,"[8, 15, 16, 18, 33]"
Franz Schubert,"Winterreise, D.911",Der greise Kopf,2.333,"[14, 22, 28]"
Fanny (Mendelssohn) Hensel,"6 Lieder, Op.1",Schwanenlied,2.25,"[6, 7, 22, 33, 49]"
Hugo Wolf,Eichendorff-Lieder,Der Soldat II,2.25,[9]
Fanny (Mendelssohn) Hensel,"6 Lieder, Op.1",Mayenlied,2.167,"[7, 26, 42]"
Robert Schumann,"Dichterliebe, Op.48","Im Rhein, im heiligen Strome",2,[42]
Franz Schubert,"Winterreise, D.911",Gefror'ne Thränen,2,"[38, 48]"
Louise Reichardt,12 Deutsche und Italiänische Romantische Gesänge,Poesia di Metastasio [I],2,[18]
Johannes Brahms,"7 Lieder, Op. 48",Liebesklage des Mädchens,2,"[3, 13]"
Franz Schubert,"Winterreise, D.911",Die Wetterfahne,2,"[32, 44]"
Franz Schubert,"Vier Gesänge aus 'Wilhelm Meister', D.877",Lied der Mignon (Heiss mich nicht reden),2,[36]
Franz Schubert,Die schöne Müllerin (D.795),Die böse Farbe,2,"[29, 30]"
Johannes Brahms,6 Songs,Liebe und Frühling,2,"[9, 23]"
Louise Reichardt,"Sechs Lieder von Novalis, Op.4",Noch ein Bergmannslied,2,[6]
Franz Schubert,Die schöne Müllerin,Wohin?,1.833,"[38, 39, 40]"
Johannes Brahms,5 Lieder,Liebesglut,1.5,"[71, 73, 76]"
Hugo Wolf,Eichendorff-Lieder,Erwartung,1.5,[25]
Clara Schumann,"6 Lieder, Op.13",Ich hab' in Deinem Auge,1.5,"[14, 16]"
Cécile Chaminade,Souhait,Souhait,1.5,"[19, 20, 24]"
Fanny (Mendelssohn) Hensel,"6 Lieder, Op.1",Morgenständchen,1.5,[21]
Franz Schubert,"Winterreise, D.911",Rückblick,1.5,"[24, 56, 58]"
Robert Schumann,"Dichterliebe, Op.48",Ich hab' im Traum geweinet,1.5,[30]
Hugo Wolf,Eichendorff-Lieder,Der Glücksritter,1,"[70, 74]"
Franz Schubert,Die schöne Müllerin (D.795),Am Feierabend,1,[3]
Fanny (Mendelssohn) Hensel,"6 Lieder, Op.9",Die Mainacht,1,[8]
Robert Schumann,"Dichterliebe, Op.48","Die alten, bösen Lieder",1,"[54, 56]"
Franz Schubert,Die schöne Müllerin (D.795),Mein!,1,[61]
Franz Schubert,"Winterreise, D.911",Einsamkeit,1,"[32, 44]"
Hugo Wolf,Eichendorff-Lieder,Der Soldat I,1,"[24, 82]"
Louise Reichardt,Zwölf Gesänge,Vaters Klage,1,[4]
Peter Cornelius,"6 Lieder, Op.1",Untreu,1,[11]
Johannes Brahms,"8 Lieder und Gesänge, Op.57","Ach, wende diesen Blick",1,"[1, 29]"
Robert Schumann,"Liederkreis, Op.39",Intermezzo,1,"[7, 27]"
Franz Schubert,Die schöne Müllerin,Der Neugierige,1,[41]
Fanny (Mendelssohn) Hensel,"6 Lieder, Op.9",Ferne,1,[15]
Franz Schubert,"Winterreise, D.911",Der Lindenbaum,1,"[45, 47, 52]"
Louise Reichardt,12 Deutsche und Italiänische Romantische Gesänge,Poesia di Metastasio [II],1,[19]
Hugo Wolf,Eichendorff-Lieder,Der Musikant,0.75,"[25, 26, 27]"
Robert Schumann,"Liederkreis, Op.39",In der Fremde,0.75,"[22, 24, 25]"
Franz Schubert,"Vier Gesänge aus 'Wilhelm Meister' (D.877), Op.62",Lied der Mignon (Nur wer die Sehnsucht kennt),0.667,[28]
Robert Schumann,"Frauenliebe und Leben, Op.42","Helft mir, ihr Schwestern",0.5,[43]
Clara Schumann,"6 Lieder, Op.23","Was weinst du, Blümlein?",0.5,[32]
Fanny (Mendelssohn) Hensel,"5 Lieder, Op.10",Abendbild,0.5,[39]
Robert Franz,"6 Gesänge, Op. 26","Lieber Schatz, sei wieder gut mir",0.5,[27]
Gustav Mahler,Kindertotenlieder,Nun will die Sonn' so hell aufgeh'n!,0.5,[62]
Franz Schubert,"Winterreise, D.911",Im Dorfe,0.5,[42]
Robert Schumann,"Frauenliebe und Leben, Op.42","Er, der Herrlichste von allen",0.5,[70]
Robert Schumann,"Liederkreis, Op.39",Wehmuth,0.5,[23]
Hugo Wolf,Eichendorff-Lieder,Der Scholar,0.5,[19]
Fanny (Mendelssohn) Hensel,"6 Lieder, Op.1",Gondellied,0.5,[19]
Johannes Brahms,"9 Lieder und Gesänge, Op.63",An die Tauben,0.333,[56]
Gustav Mahler,Lieder eines fahrenden Gesellen,Gieng heut morgen übers Feld,0.333,[117]
Franz Schubert,Schwanengesang,Frühlingssehnsucht,0.333,[65]
