BWV,Movement,Set,Measure,Beat,Length
20,11,3-12,13,3,1
20,7,3-12,13,3,1
41,6,3-12,30,1,1
41,6,4-19B,38,2,1
81,7,3-12,15,3,1
171,6,3-12,30,1,1
171,6,4-19B,38,2,1
331,,3-12,2,1,1
331,,3-12,7,1,1
2,6,3-12,11,4,0.5
2,6,4-24,11,4.5,0.5
7,7,4-19B,3,3,0.5
7,7,4-19B,7,3,0.5
7,7,4-19B,15,4.5,0.5
18,5,3-12,4,1,0.5
18,5,3-12,8,1,0.5
30,6,3-12,17,3.5,0.5
33,6,3-12,17,4,0.5
33,6,4-19B,18,1.5,0.5
40,3,3-12,9,1,0.5
40,3,4-24,9,1.5,0.5
40,6,3-12,6,1,0.5
40,6,4-24,6,1.5,0.5
40,8,4-19B,15,2,0.5
41,6,4-19B,21,4,0.5
42,7,3-12,7,4,0.5
42,7,4-24,8,1.5,0.5
47,5,4-19B,9,3.5,0.5
48,7,3-12,11,3,0.5
48,7,3-12,13,3.5,0.5
59,3,3-12,11,3,0.5
59,3,4-19B,11,3.5,0.5
60,5,4-19B,1,4,0.5
64,8,3-12,13,2.5,0.5
64,8,3-12,15,3,0.5
64,8,4-24,15,3.5,0.5
64,8,4-19B,17,3.5,0.5
66,6,3-12,8,1.5,0.5
77,6,3-12,1,1,0.5
79,3,3-12,5,1.5,0.5
79,3,3-12,19,1.5,0.5
83,5,4-19B,11,3.5,0.5
89,6,4-24,11,2,0.5
90,5,4-19B,3,4,0.5
99,6,4-19B,10,1.5,0.5
102,7,3-12,11,2,0.5
102,7,3-12,12,1,0.5
110,7,4-19B,10,2.5,0.5
121,6,4-19B,9,3.5,0.5
121,6,3-12,13,4,0.5
135,6,4-19B,16,1.5,0.5
144,6,4-24,18,3.5,0.5
145,a,4-19B,9,3.5,0.5
149,7,4-19B,5,2,0.5
149,7,4-19B,11,2,0.5
153,1,3-12,4,1,0.5
153,1,3-12,8,1,0.5
171,6,4-19B,21,4,0.5
175,7,3-12,11,3,0.5
175,7,4-19B,11,3.5,0.5
176,6,4-19B,8,2.5,0.5
176,6,4-24,15,3.5,0.5
177,5,4-19B,12,2.5,0.5
179,6,3-12,1,4.5,0.5
179,6,3-12,6,4.5,0.5
183,5,4-19B,1,2,0.5
183,5,4-19B,5,2,0.5
183,5,3-12,14,1.5,0.5
226,2,3-12,10,3,0.5
245,15,4-19B,3,4,0.5
245,5,3-12,4,1.5,0.5
248,46-5,3-12,2,1.5,0.5
248,46-5,4-24,6,2,0.5
257,,3-12,13,3,0.5
261,,3-12,1,4,0.5
261,,3-12,8,4,0.5
261,,3-12,20,1.5,0.5
261,,3-12,25,3.5,0.5
267,,3-12,16,1,0.5
276,,4-24,3,1.5,0.5
277,,4-19B,10 (14  if no repeat),1,0.5
277,,3-12,11 (15  if no repeat),3,0.5
280,,4-24,15,3.5,0.5
284,,3-12,5,3,0.5
288,,4-19B,10,1.5,0.5
288,,3-12,11,1,0.5
297,,3-12,2,2,0.5
298,,3-12,8,1,0.5
301,,3-12,3,4.5,0.5
301,,3-12,8,4.5,0.5
309,,3-12,18,3,0.5
313,,4-19B,2,1.5,0.5
313,,4-19B,6,1.5,0.5
315,,3-12,12,2,0.5
328,,3-12,105,1.5,0.5
334,,3-12,2,1,0.5
334,,3-12,6,1,0.5
334,,3-12,10,1,0.5
334,,3-12,13,4,0.5
336,,3-12,5,3,0.5
337,,3-12,1,2.5,0.5
345,,3-12,14,2,0.5
346,,4-19B,7,3.5,0.5
351,,4-19B,8,1.5,0.5
352,,3-12,1,4.5,0.5
352,,3-12,5,4.5,0.5
357,,3-12,13,4.5,0.5
358,,3-12,17,4.5,0.5
361,,4-19B,10,4.5,0.5
362,,3-12,27,1,0.5
362,,4-24,27,1.5,0.5
362,,4-19B,33,3,0.5
369,,4-19B,1,1.5,0.5
369,,4-19B,5,1.5,0.5
371,,3-12,4,4.5,0.5
374,,3-12,8,1.5,0.5
382,,3-12,11,2,0.5
384,,3-12,1,4,0.5
384,,3-12,5,4,0.5
404,,4-19B,7,2.5,0.5
407,,4-19B,7,2,0.5
407,,4-19B,17,4,0.5
407,,3-12,19,4,0.5
424,,3-12,1,4,0.5
424,,3-12,4,4,0.5
424,,3-12,10,4.5,0.5
424,,4-19B,11,4,0.5
425,,3-12,11,1.5,0.5
426,,4-19B,7,4,0.5
433,,3-12,21,3.5,0.5
435,,4-19B,1,3.5,0.5
437,,3-12,7,1,0.5
437,,4-19B,12,1,0.5
437,,3-12,18,2,0.5
437,,4-19B,19,2.5,0.5
33,6,4-19B,6,2.5,0.25
33,6,4-19B,12,2.5,0.25
48,7,4-19B,4,1.75,0.25
48,7,4-19B,8,1.75,0.25
85,6,3-12,14,1.5,0.25
93,7,4-19B,14,1.5,0.25
104,6,4-19B,10,2.5,0.25
111,6,4-19B,4,4.25,0.25
111,6,4-19B,9,4.25,0.25
111,6,4-19B,19,4.25,0.25
161,6,4-19B,11,3.5,0.25
161,6,3-12,14,1.5,0.25
161,6,4-19B,14,1.75,0.25
176,6,4-19B,12,2.5,0.25
176,6,4-19B,16,2.5,0.25
190,7-inst,4-19B,23,4.5,0.25
190,7-inst,4-19B,27,4.5,0.25
195,6,4-24,7,3.25,0.25
245,14,4-19B,7,4.5,0.25
248,64-6,4-19B,15,3.75,0.25
248,64-6,4-19B,33,3.75,0.25
248,64-6,4-24,45,4.5,0.25
248,64-6,4-19B,46,3.75,0.25
248,64-6,3-12,53,4,0.25
259,,4-19B,5,3.5,0.25
276,,3-12,27,3.5,0.25
280,,4-19B,12,2.5,0.25
280,,4-19B,16,2.5,0.25
296,,4-24,5,3.5,0.25
315,,4-19B,1,2.5,0.25
315,,3-12,2,2.5,0.25
315,,4-19B,6,2.5,0.25
315,,3-12,7,2.5,0.25
328,,3-12,21,4.5,0.25
328,,3-12,48,1.25,0.25
328,,3-12,52,1.25,0.25
328,,3-12,56,1.25,0.25
328,,3-12,60,1.25,0.25
328,,3-12,64,1.25,0.25
328,,3-12,68,1.25,0.25
328,,3-12,78,3.75,0.25
330,,3-12,2,1.5,0.25
330,,3-12,6,1.5,0.25
338,,3-12,3,2.5,0.25
338,,3-12,7,2.5,0.25
338,,3-12,11,1.25,0.25
341,,4-19B,2,1.25,0.25
345,,4-19B,1,2.5,0.25
345,,4-19B,5,3.5,0.25
345,,4-19B,6,1.5,0.25
345,,4-19B,7,2.5,0.25
345,,4-19B,11,3.5,0.25
345,,4-19B,12,1.5,0.25
346,,4-19B,11,2.5,0.25
350,,3-12,3,2.25,0.25
350,,3-12,6,2.25,0.25
350,,3-12,7,2.5,0.25
350,,4-19B,15,1.75,0.25
351,,3-12,4,2.5,0.25
351,,3-12,9,2.25,0.25
352,,4-19B,4,1.5,0.25
352,,4-19B,8,1.5,0.25
357,,4-24,4,2.75,0.25
371,,4-19B,7,4.5,0.25
371,,3-12,21,1.75,0.25
371,,4-19B,23,4.5,0.25
371,,4-24,27,1.5,0.25
372,,3-12,9,4.25,0.25
372,,4-19B,18,1.5,0.25
378,,4-19B,12,1.75,0.25
380,,4-19B,3,3.75,0.25
380,,3-12,11,2.5,0.25
411,,4-19B,12,3.75,0.25
416,,4-19B,12,2.5,0.25
417,,4-19B,12,4.5,0.25
419,,4-19B,13,3.75,0.25
425,,4-19B,25,2.25,0.25
434,,3-12,4,4.5,0.25
434,,3-12,9,4.5,0.25
437,,4-19B,2,1.5,0.25
437,,3-12,4,4.25,0.25
437,,4-24,9,3.75,0.25
437,,4-24,31,2.5,0.25
437,,3-12,31,4.25,0.25
438,,4-19B,6,1.75,0.25
