Composer,Collection,Song,Length,Measures
Gustav Mahler,Kindertotenlieder,Nun seh' ich wohl -  warum so dunkle Flammen,20,"[18, 20, 22, 24, 30, 52, 54, 56, 62]"
Hugo Wolf,Goethe-Lieder,Hoch beglückt in deiner Liebe,8,"[3, 4, 30, 57, 72, 73, 74, 75, 76, 77]"
Gustav Mahler,Lieder eines fahrenden Gesellen,Gieng heut morgen übers Feld,6.167,"[21, 49, 52, 112, 113, 114, 117]"
Gustav Mahler,Kindertotenlieder,Wenn dein Mütterlein,5.5,"[2, 4, 5, 16, 19, 34, 37, 52]"
Hugo Wolf,Eichendorff-Lieder,Seemanns Abschied,4.875,"[19, 40, 56, 67]"
Gustav Mahler,Kindertotenlieder,Nun will die Sonn' so hell aufgeh'n!,4.5,"[38, 54, 71]"
Robert Franz,6 Gesänge -  Op. 26,Lieber Schatz -  sei wieder gut mir,4.25,"[3, 7, 12, 16, 21, 28]"
Hugo Wolf,Eichendorff-Lieder,Das Ständchen,4.25,"[22, 28, 29, 31, 32, 40, 48]"
Franz Schubert,Winterreise -  D.911,Gefror'ne Thränen,4,"[31, 33, 41, 43]"
Fanny (Mendelssohn) Hensel,5 Lieder -  Op.10,Nach Süden,4,"[10, 12, 26, 41, 43]"
Hugo Wolf,Eichendorff-Lieder,Verschwiegene Liebe,4,"[10, 19, 21, 22, 23, 24]"
Fanny (Mendelssohn) Hensel,5 Lieder -  Op.10,Bergeslust,3.5,"[31, 33, 36, 38]"
Franz Schubert,Schwanengesang -  D.957,Kriegers Ahnung,3.5,"[7, 49, 101, 119]"
Hugo Wolf,Eichendorff-Lieder,Lieber Alles,3.5,"[9, 21, 26, 28]"
Hugo Wolf,Eichendorff-Lieder,Liebesglück,3.25,"[12, 20]"
Franz Schubert,Winterreise -  D.911,Täuschung,3,[31]
Cécile Chaminade,Amoroso,Amoroso,3,"[14, 30, 46]"
Hugo Wolf,Eichendorff-Lieder,Nachtzauber,3,"[20, 21, 27, 49, 50, 52, 56]"
Fanny (Mendelssohn) Hensel,5 Lieder -  Op.10,Vorwurf,2.5,"[15, 44, 45]"
Gustav Mahler,Kindertotenlieder,Oft denk' ich sie sind nur ausgegangen,2.5,"[14, 28, 43]"
Franz Schubert,Die schöne Müllerin,Tränenregen,2.5,"[1, 3, 5, 9, 34]"
