Title,Artist,Measure Numbers
A Bird In A Gilded Cage,Harry Von Tilzer,[8]
A Hundred Years From Today,Victor Young,"[4, 8, 12]"
A passing glance,Les Kettley,"[8, 13]"
A Second Chance,Andre Previn,"[3, 19]"
Abide With Me,William Henry Monk (Eventide)  1861,[11]
After Hours,Avery Parrish,[32]
All My Loving,"John Lennon, Paul McCartney","[2, 23, 27]"
All Of My Life,Irving Berlin,[14]
Always True to You in my Fashion,Cole Porter,"[3, 5, 10, 27]"
Angel Eyes,Matt Dennis,"[7, 8, 15, 31]"
Any broken hearts to mend?,John P. Long,[19]
April Showers,Louis Silvers,[10]
Autumn in Rome,Alessandro Cicognini and Paul Weston,"[5, 13, 29, 31]"
Baby Face,Harry Akst,[29]
Blame It On My Youth,Oscar Levant,"[12, 14, 28]"
Blue Bayou,"Joe Melson, Roy Orbison",[27]
Blue Orchids,Hoagy Carmichael,"[9, 12]"
Blue Skies,Irving Berlin,"[2, 10, 24, 26, 30]"
Boo-Hoo,"Edward Heyman, Carmen Lombardo, John Jacob Loeb","[1, 3, 15, 25, 29, 33, 35]"
Buona Sera,Peter De Rose,[16]
But Beautiful,Jimmy Van Heusen,[28]
Can't We Be Friends?,Kay Swift,"[20, 23, 23]"
Christmas Dreaming (A Little Early This Year),Lester Lee,"[4, 7, 20, 23]"
Clap yo' hands,George Gershwin,[24]
Close to You,Al Hoffman,"[13, 17, 30]"
Cocktails For Two,Sam Coslow,[16]
Come Prima,"Sandro Taccani, Vincenzo Di Paolo","[4, 12]"
Cornish Rhapsody,Hubert Bath,[7]
Crazy,Willie Nelson,[24]
Dancing on the Ceiling,Richard Rodgers,"[2, 10, 26]"
Darling Lili,Henry Mancini,"[1, 9, 17, 32, 41]"
Deep In A Dream,Jimmy van Heusen,"[2, 4, 6, 10, 12, 14, 26, 28, 30]"
Deep Night,Charlie Henderson,"[15, 17, 19]"
Did I Remember?,Walter Donaldson,[22]
Did You Ever See A Dream Walking?,Harry Revel,"[13, 27]"
Do I Worry? ,Bobby Worth,[9]
Do You?,F. Henri Klickmann,"[32, 33, 34]"
Don't Be That Way,"Benny Goodman, Edgar Sampson","[3, 5, 7, 9, 11, 13, 15, 25, 27, 29, 31, 33]"
Don't Blame Me,Jimmy McHugh,[7]
Don't Fence Me In,Cole Porter,"[11, 21, 27]"
Don't Go To Strangers,"J. D. Martin, Russell Smith","[4, 12, 28]"
Don't Take Your Love From Me,Henry Nemo,"[23, 25, 28]"
Drifting and Dreaming,"Egbert Van Alstyne, Ervin R. Schmidt, Loyal Curtis","[3, 24]"
Easy Street,Alan Rankin Jones,"[24, 30]"
Elmer's Tune,"Sammy Gallop, Elmer Albrecht, Dick Jurgens",[8]
Ev'ry Time We Say Goodbye,Cole Porter,[14]
Ev'rything I Love,Cole Porter,"[18, 26, 34, 48]"
Feeling Good,Anthony Newley,"[14, 16]"
Fit As A Fiddle,"Al Goodhart, Al Hoffman","[8, 24, 32]"
For Every Man There's A Woman,Harold Arlen,"[4, 10, 25]"
For Once In My Life,Orlando Murden,"[2, 7, 11, 18, 23, 27, 30, 34, 38]"
Forget Domani,Riz Ortolani,"[10, 12, 14, 26, 28, 30]"
Get Happy,Harold Arlen,[12]
"Gimme A Little Kiss, Will Ya, Huh?",Maceo Pinkard,"[10, 11, 14]"
Gina,"Paul Vance, Leon Carr",[34]
Girl Of My Dreams (I Love You),Sunny Clapp,"[7, 9, 11, 33]"
Heaven Can Wait,Jimmy Van Heusen,[8]
Hit The Road Jack,Percy Mayfield,"[1, 3, 7, 9, 11, 15, 19, 23, 27, 43, 47]"
"I Can Dream, Can't I?",Sammy Fain,"[7, 23]"
I Can't Explain It,Les Kettley,"[2, 37, 41]"
I Don't Want To Set The World On Fire,"Bennie Benjamin, Eddie Seiler, Sol Marcus","[2, 10, 24, 26]"
I Guess I'll Hang My Tears Out To Dry,"Jules Styne, Sammy Cahn","[2, 10]"
I Hear Music,Burton Lane,"[17, 19, 33, 35]"
I Let A Song Go Out Of My Heart,"Duke Ellington, Henry Nemo, Irving Mills, John Redmond",[24]
"I Surrender, Dear",Gordon Clifford,"[7, 15, 31, 32]"
I Told Ya I Love Ya Now Get Out,"Herb Ellis, John Frigo, Lou Carter","[56, 58]"
I Wanna Be Loved,John Green,"[1, 9, 25, 33]"
I Wish I Were In Love Again,Richard Rodgers,[23]
I'll be seeing you,Sammy Fain,"[14, 16, 18]"
I'll Never Say Never Again,Harry Woods,"[7, 15, 20, 31]"
