Opus,Number,Movement,Measure,Beat,Length
135,16,1,36,2.0,1.0
135,16,1,134,2.0,1.0
135,16,1,154,1.0,0.5
135,16,4,166,3.0,2.0
135,16,4,166,5.0,6.0
135,16,4,168,3.0,2.0
135,16,4,169,3.0,2.0
135,16,4,249,4.0,1.0
135,16,4,251,4.0,1.0
74,10,2,127,1.0,0.25
74,10,2,145,1.75,0.25
74,10,4,141,2.5,0.5
95,11,1,41,3.0,1.0
95,11,1,42,3.0,1.0
95,11,1,52,3.0,1.0
95,11,1,53,3.0,1.0
95,11,4,137,3.0,2.0
95,11,4,139,3.0,2.0
18,2,3,33,3.5,0.5
18,2,3,37,2.5,0.5
18,2,2,75,3.5,0.5
132,15,3,76,1.75,0.25
132,15,3,160,1.75,0.25
132,15,2,14,1.0,1.0
132,15,2,18,1.0,1.0
132,15,2,53,1.0,1.0
132,15,2,89,1.0,1.0
132,15,1,34,2.0,2.0
132,15,1,228,3.0,2.0
18,3,3,2,3.0,1.0
18,3,3,15,0.0,4.0
18,3,3,18,3.0,1.0
18,3,3,24,3.0,4.0
18,3,3,103,-6.0,10.0
18,3,3,111,-6.0,10.0
18,3,3,123,-6.0,10.0
18,3,3,126,3.0,1.0
18,3,3,132,3.0,4.0
18,3,1,251,2.0,1.0
18,3,1,252,1.0,1.0
18,3,4,335,2.5,1.5
18,4,4,42,4.0,1.0
18,4,2,65,1.5,1.0
18,4,2,213,1.5,1.0
18,4,1,59,2.5,0.5
18,4,1,184,2.5,0.5
130,13,6,38,1.0,0.5
130,13,6,277,1.0,0.5
130,13,6,445,1.0,2.0
130,13,1,37,1.5,0.5
130,13,1,39,1.5,0.5
130,13,1,142,1.0,4.0
130,13,1,145,4.5,0.5
130,13,1,164,3.0,2.0
130,13,1,168,3.0,2.0
130,13,1,221,1.0,1.0
130,13,1,221,3.0,1.0
130,13,1,223,1.0,1.0
130,13,1,223,3.0,1.0
130,13,3,72,4.75,0.25
127,12,4,94,1.0,4.0
127,12,4,95,1.0,4.0
127,12,4,96,1.0,2.0
127,12,4,103,1.0,1.0
127,12,4,140,1.0,2.0
127,12,4,166,4.0,1.0
127,12,4,177,4.0,1.0
127,12,4,271,1.5,1.5
127,12,4,273,1.5,1.5
127,12,4,275,1.5,1.5
127,12,4,288,2.5,0.5
127,12,1,18,3.0,1.0
127,12,1,170,3.0,1.0
127,12,1,211,3.0,1.0
127,12,1,212,3.0,1.0
127,12,1,219,3.0,1.0
127,12,1,220,3.0,2.5
127,12,1,274,3.0,1.0
127,12,2,32,1.0,1.0
127,12,3,132,3.75,0.25
18,6,3,14,2.5,1.0
18,6,3,32,3.5,1.0
59,9,4,347,3.0,2.0
59,7,4,174,2.5,0.5
59,7,4,175,1.5,0.5
59,7,4,175,2.5,0.5
59,7,4,176,1.5,0.5
59,7,4,176,2.5,0.5
131,14,4,203,7.0,3.0
131,14,4,204,1.0,4.0
131,14,4,212,2.0,1.0
131,14,4,267,1.0,0.5
131,14,4,269,1.0,0.5
131,14,1,14,1.0,1.0
131,14,1,17,1.0,1.0
131,14,1,27,1.0,2.0
131,14,1,94,1.0,2.0
131,14,2,20,1.0,1.5
131,14,2,27,3.5,0.5
131,14,2,167,2.5,1.0
